year,source_period,geography,country_or_area,african_subregion,population,margin_of_error,source_symbol,unit,measure_scope,value_status,coverage_status,subregion_assignment_status,standard_variable,parent_label,source_label,table_id,table,crosswalk_id,publication,official_source_url,source_file,verification_status,notes
2010,2006-2010,Bergen County,Egypt,Northern Africa,2624,539,,persons,foreign_born_population,survey_estimate,selected_published_countries_with_residual_categories_omitted,source_published_hierarchy,foreign_born_country_of_birth_egypt,Africa > Northern Africa,Estimate!!Total!!Africa!!Northern Africa!!Egypt,B05006,B05006: PLACE OF BIRTH FOR THE FOREIGN-BORN POPULATION IN THE UNITED STATES,BC-2010-101,2006-2010 ACS 5-Year Detailed Tables,https://api.census.gov/data/2010/acs/acs5/groups/B05006.html,bergen_county_2010_acs_B05006_B05007.csv,api_response_and_metadata_validated,"source_period=2006-2010; geoid=05000US34003; margin_of_error=539; 2006-2010 ACS 5-year period estimate; sample-based. MOE is Census-published margin of error. Country-only extract from bergen_county_master_provenance.csv. Continent totals, subregion totals, and residual “Other”/n.e.c. categories are excluded, so country rows must not be summed as a complete Africa total."
2010,2006-2010,Bergen County,Morocco,Northern Africa,295,148,,persons,foreign_born_population,survey_estimate,selected_published_countries_with_residual_categories_omitted,source_published_hierarchy,foreign_born_country_of_birth_africa_northern_africa_morocco,Africa > Northern Africa,Estimate!!Total!!Africa!!Northern Africa!!Morocco,B05006,B05006: PLACE OF BIRTH FOR THE FOREIGN-BORN POPULATION IN THE UNITED STATES,BC-2010-102,2006-2010 ACS 5-Year Detailed Tables,https://api.census.gov/data/2010/acs/acs5/groups/B05006.html,bergen_county_2010_acs_B05006_B05007.csv,api_response_and_metadata_validated,"source_period=2006-2010; geoid=05000US34003; margin_of_error=148; 2006-2010 ACS 5-year period estimate; sample-based. MOE is Census-published margin of error. Country-only extract from bergen_county_master_provenance.csv. Continent totals, subregion totals, and residual “Other”/n.e.c. categories are excluded, so country rows must not be summed as a complete Africa total."
2010,2006-2010,Bergen County,Sudan,Northern Africa,28,26,,persons,foreign_born_population,survey_estimate,selected_published_countries_with_residual_categories_omitted,source_published_hierarchy,foreign_born_country_of_birth_africa_northern_africa_sudan,Africa > Northern Africa,Estimate!!Total!!Africa!!Northern Africa!!Sudan,B05006,B05006: PLACE OF BIRTH FOR THE FOREIGN-BORN POPULATION IN THE UNITED STATES,BC-2010-103,2006-2010 ACS 5-Year Detailed Tables,https://api.census.gov/data/2010/acs/acs5/groups/B05006.html,bergen_county_2010_acs_B05006_B05007.csv,api_response_and_metadata_validated,"source_period=2006-2010; geoid=05000US34003; margin_of_error=26; 2006-2010 ACS 5-year period estimate; sample-based. MOE is Census-published margin of error. Country-only extract from bergen_county_master_provenance.csv. Continent totals, subregion totals, and residual “Other”/n.e.c. categories are excluded, so country rows must not be summed as a complete Africa total."
2010,2006-2010,Bergen County,South Africa,Southern Africa,410,127,,persons,foreign_born_population,survey_estimate,selected_published_countries_with_residual_categories_omitted,source_published_hierarchy,foreign_born_country_of_birth_south_africa,Africa > Southern Africa,Estimate!!Total!!Africa!!Southern Africa!!South Africa,B05006,B05006: PLACE OF BIRTH FOR THE FOREIGN-BORN POPULATION IN THE UNITED STATES,BC-2010-106,2006-2010 ACS 5-Year Detailed Tables,https://api.census.gov/data/2010/acs/acs5/groups/B05006.html,bergen_county_2010_acs_B05006_B05007.csv,api_response_and_metadata_validated,"source_period=2006-2010; geoid=05000US34003; margin_of_error=127; 2006-2010 ACS 5-year period estimate; sample-based. MOE is Census-published margin of error. Country-only extract from bergen_county_master_provenance.csv. Continent totals, subregion totals, and residual “Other”/n.e.c. categories are excluded, so country rows must not be summed as a complete Africa total."
2010,2006-2010,Bergen County,Cape Verde,Western Africa,101,110,,persons,foreign_born_population,survey_estimate,selected_published_countries_with_residual_categories_omitted,source_published_hierarchy,foreign_born_country_of_birth_africa_western_africa_cape_verde,Africa > Western Africa,Estimate!!Total!!Africa!!Western Africa!!Cape Verde,B05006,B05006: PLACE OF BIRTH FOR THE FOREIGN-BORN POPULATION IN THE UNITED STATES,BC-2010-109,2006-2010 ACS 5-Year Detailed Tables,https://api.census.gov/data/2010/acs/acs5/groups/B05006.html,bergen_county_2010_acs_B05006_B05007.csv,api_response_and_metadata_validated,"source_period=2006-2010; geoid=05000US34003; margin_of_error=110; 2006-2010 ACS 5-year period estimate; sample-based. MOE is Census-published margin of error. Country-only extract from bergen_county_master_provenance.csv. Continent totals, subregion totals, and residual “Other”/n.e.c. categories are excluded, so country rows must not be summed as a complete Africa total."
2010,2006-2010,Bergen County,Ghana,Western Africa,487,165,,persons,foreign_born_population,survey_estimate,selected_published_countries_with_residual_categories_omitted,source_published_hierarchy,foreign_born_country_of_birth_ghana,Africa > Western Africa,Estimate!!Total!!Africa!!Western Africa!!Ghana,B05006,B05006: PLACE OF BIRTH FOR THE FOREIGN-BORN POPULATION IN THE UNITED STATES,BC-2010-110,2006-2010 ACS 5-Year Detailed Tables,https://api.census.gov/data/2010/acs/acs5/groups/B05006.html,bergen_county_2010_acs_B05006_B05007.csv,api_response_and_metadata_validated,"source_period=2006-2010; geoid=05000US34003; margin_of_error=165; 2006-2010 ACS 5-year period estimate; sample-based. MOE is Census-published margin of error. Country-only extract from bergen_county_master_provenance.csv. Continent totals, subregion totals, and residual “Other”/n.e.c. categories are excluded, so country rows must not be summed as a complete Africa total."
2010,2006-2010,Bergen County,Liberia,Western Africa,71,58,,persons,foreign_born_population,survey_estimate,selected_published_countries_with_residual_categories_omitted,source_published_hierarchy,foreign_born_country_of_birth_africa_western_africa_liberia,Africa > Western Africa,Estimate!!Total!!Africa!!Western Africa!!Liberia,B05006,B05006: PLACE OF BIRTH FOR THE FOREIGN-BORN POPULATION IN THE UNITED STATES,BC-2010-111,2006-2010 ACS 5-Year Detailed Tables,https://api.census.gov/data/2010/acs/acs5/groups/B05006.html,bergen_county_2010_acs_B05006_B05007.csv,api_response_and_metadata_validated,"source_period=2006-2010; geoid=05000US34003; margin_of_error=58; 2006-2010 ACS 5-year period estimate; sample-based. MOE is Census-published margin of error. Country-only extract from bergen_county_master_provenance.csv. Continent totals, subregion totals, and residual “Other”/n.e.c. categories are excluded, so country rows must not be summed as a complete Africa total."
2010,2006-2010,Bergen County,Nigeria,Western Africa,371,218,,persons,foreign_born_population,survey_estimate,selected_published_countries_with_residual_categories_omitted,source_published_hierarchy,foreign_born_country_of_birth_nigeria,Africa > Western Africa,Estimate!!Total!!Africa!!Western Africa!!Nigeria,B05006,B05006: PLACE OF BIRTH FOR THE FOREIGN-BORN POPULATION IN THE UNITED STATES,BC-2010-112,2006-2010 ACS 5-Year Detailed Tables,https://api.census.gov/data/2010/acs/acs5/groups/B05006.html,bergen_county_2010_acs_B05006_B05007.csv,api_response_and_metadata_validated,"source_period=2006-2010; geoid=05000US34003; margin_of_error=218; 2006-2010 ACS 5-year period estimate; sample-based. MOE is Census-published margin of error. Country-only extract from bergen_county_master_provenance.csv. Continent totals, subregion totals, and residual “Other”/n.e.c. categories are excluded, so country rows must not be summed as a complete Africa total."
2010,2006-2010,Bergen County,Sierra Leone,Western Africa,104,92,,persons,foreign_born_population,survey_estimate,selected_published_countries_with_residual_categories_omitted,source_published_hierarchy,foreign_born_country_of_birth_africa_western_africa_sierra_leone,Africa > Western Africa,Estimate!!Total!!Africa!!Western Africa!!Sierra Leone,B05006,B05006: PLACE OF BIRTH FOR THE FOREIGN-BORN POPULATION IN THE UNITED STATES,BC-2010-113,2006-2010 ACS 5-Year Detailed Tables,https://api.census.gov/data/2010/acs/acs5/groups/B05006.html,bergen_county_2010_acs_B05006_B05007.csv,api_response_and_metadata_validated,"source_period=2006-2010; geoid=05000US34003; margin_of_error=92; 2006-2010 ACS 5-year period estimate; sample-based. MOE is Census-published margin of error. Country-only extract from bergen_county_master_provenance.csv. Continent totals, subregion totals, and residual “Other”/n.e.c. categories are excluded, so country rows must not be summed as a complete Africa total."
2020,2016-2020,Bergen County,Eritrea,Eastern Africa,14,23,,persons,foreign_born_population,survey_estimate,selected_published_countries_with_residual_categories_omitted,source_published_hierarchy,foreign_born_country_of_birth_africa_eastern_africa_eritrea,Africa > Eastern Africa,Estimate!!Total:!!Africa:!!Eastern Africa:!!Eritrea,B05006,B05006: PLACE OF BIRTH FOR THE FOREIGN-BORN POPULATION IN THE UNITED STATES,BC-2020-093,2016-2020 ACS 5-Year Estimates,https://api.census.gov/data/2020/acs/acs5/groups/B05006.html,bergen_county_2020_acs_immigration_cleaned.csv,retrieved_and_moe_matched,"source_period=2016-2020; geoid=05000US34003; margin_of_error=23; estimate_annotation=none; moe_annotation=none; 2016–2020 ACS 5-Year estimate; sample-based period estimate. Country-only extract from bergen_county_master_provenance.csv. Continent totals, subregion totals, and residual “Other”/n.e.c. categories are excluded, so country rows must not be summed as a complete Africa total."
2020,2016-2020,Bergen County,Ethiopia,Eastern Africa,384,201,,persons,foreign_born_population,survey_estimate,selected_published_countries_with_residual_categories_omitted,source_published_hierarchy,foreign_born_country_of_birth_ethiopia,Africa > Eastern Africa,Estimate!!Total:!!Africa:!!Eastern Africa:!!Ethiopia,B05006,B05006: PLACE OF BIRTH FOR THE FOREIGN-BORN POPULATION IN THE UNITED STATES,BC-2020-094,2016-2020 ACS 5-Year Estimates,https://api.census.gov/data/2020/acs/acs5/groups/B05006.html,bergen_county_2020_acs_immigration_cleaned.csv,retrieved_and_moe_matched,"source_period=2016-2020; geoid=05000US34003; margin_of_error=201; estimate_annotation=none; moe_annotation=none; 2016–2020 ACS 5-Year estimate; sample-based period estimate. Country-only extract from bergen_county_master_provenance.csv. Continent totals, subregion totals, and residual “Other”/n.e.c. categories are excluded, so country rows must not be summed as a complete Africa total."
2020,2016-2020,Bergen County,Kenya,Eastern Africa,530,281,,persons,foreign_born_population,survey_estimate,selected_published_countries_with_residual_categories_omitted,source_published_hierarchy,foreign_born_country_of_birth_africa_eastern_africa_kenya,Africa > Eastern Africa,Estimate!!Total:!!Africa:!!Eastern Africa:!!Kenya,B05006,B05006: PLACE OF BIRTH FOR THE FOREIGN-BORN POPULATION IN THE UNITED STATES,BC-2020-095,2016-2020 ACS 5-Year Estimates,https://api.census.gov/data/2020/acs/acs5/groups/B05006.html,bergen_county_2020_acs_immigration_cleaned.csv,retrieved_and_moe_matched,"source_period=2016-2020; geoid=05000US34003; margin_of_error=281; estimate_annotation=none; moe_annotation=none; 2016–2020 ACS 5-Year estimate; sample-based period estimate. Country-only extract from bergen_county_master_provenance.csv. Continent totals, subregion totals, and residual “Other”/n.e.c. categories are excluded, so country rows must not be summed as a complete Africa total."
2020,2016-2020,Bergen County,Somalia,Eastern Africa,0,30,,persons,foreign_born_population,survey_estimate,selected_published_countries_with_residual_categories_omitted,source_published_hierarchy,foreign_born_country_of_birth_africa_eastern_africa_somalia,Africa > Eastern Africa,Estimate!!Total:!!Africa:!!Eastern Africa:!!Somalia,B05006,B05006: PLACE OF BIRTH FOR THE FOREIGN-BORN POPULATION IN THE UNITED STATES,BC-2020-201,2016-2020 ACS 5-Year Estimates,https://api.census.gov/data/2020/acs/acs5/groups/B05006.html,bergen_county_2020_acs_immigration_cleaned.csv,retrieved_and_moe_matched,"source_period=2016-2020; geoid=05000US34003; margin_of_error=30; estimate_annotation=none; moe_annotation=none; 2016–2020 ACS 5-Year estimate; sample-based period estimate. Country-only extract from bergen_county_master_provenance.csv. Continent totals, subregion totals, and residual “Other”/n.e.c. categories are excluded, so country rows must not be summed as a complete Africa total."
2020,2016-2020,Bergen County,Uganda,Eastern Africa,287,267,,persons,foreign_born_population,survey_estimate,selected_published_countries_with_residual_categories_omitted,source_published_hierarchy,foreign_born_country_of_birth_africa_eastern_africa_uganda,Africa > Eastern Africa,Estimate!!Total:!!Africa:!!Eastern Africa:!!Uganda,B05006,B05006: PLACE OF BIRTH FOR THE FOREIGN-BORN POPULATION IN THE UNITED STATES,BC-2020-202,2016-2020 ACS 5-Year Estimates,https://api.census.gov/data/2020/acs/acs5/groups/B05006.html,bergen_county_2020_acs_immigration_cleaned.csv,retrieved_and_moe_matched,"source_period=2016-2020; geoid=05000US34003; margin_of_error=267; estimate_annotation=none; moe_annotation=none; 2016–2020 ACS 5-Year estimate; sample-based period estimate. Country-only extract from bergen_county_master_provenance.csv. Continent totals, subregion totals, and residual “Other”/n.e.c. categories are excluded, so country rows must not be summed as a complete Africa total."
2020,2016-2020,Bergen County,Zimbabwe,Eastern Africa,287,164,,persons,foreign_born_population,survey_estimate,selected_published_countries_with_residual_categories_omitted,source_published_hierarchy,foreign_born_country_of_birth_africa_eastern_africa_zimbabwe,Africa > Eastern Africa,Estimate!!Total:!!Africa:!!Eastern Africa:!!Zimbabwe,B05006,B05006: PLACE OF BIRTH FOR THE FOREIGN-BORN POPULATION IN THE UNITED STATES,BC-2020-203,2016-2020 ACS 5-Year Estimates,https://api.census.gov/data/2020/acs/acs5/groups/B05006.html,bergen_county_2020_acs_immigration_cleaned.csv,retrieved_and_moe_matched,"source_period=2016-2020; geoid=05000US34003; margin_of_error=164; estimate_annotation=none; moe_annotation=none; 2016–2020 ACS 5-Year estimate; sample-based period estimate. Country-only extract from bergen_county_master_provenance.csv. Continent totals, subregion totals, and residual “Other”/n.e.c. categories are excluded, so country rows must not be summed as a complete Africa total."
2020,2016-2020,Bergen County,Cameroon,Middle Africa,20,32,,persons,foreign_born_population,survey_estimate,selected_published_countries_with_residual_categories_omitted,source_published_hierarchy,foreign_born_country_of_birth_africa_middle_africa_cameroon,Africa > Middle Africa,Estimate!!Total:!!Africa:!!Middle Africa:!!Cameroon,B05006,B05006: PLACE OF BIRTH FOR THE FOREIGN-BORN POPULATION IN THE UNITED STATES,BC-2020-098,2016-2020 ACS 5-Year Estimates,https://api.census.gov/data/2020/acs/acs5/groups/B05006.html,bergen_county_2020_acs_immigration_cleaned.csv,retrieved_and_moe_matched,"source_period=2016-2020; geoid=05000US34003; margin_of_error=32; estimate_annotation=none; moe_annotation=none; 2016–2020 ACS 5-Year estimate; sample-based period estimate. Country-only extract from bergen_county_master_provenance.csv. Continent totals, subregion totals, and residual “Other”/n.e.c. categories are excluded, so country rows must not be summed as a complete Africa total."
2020,2016-2020,Bergen County,Congo,Middle Africa,162,166,,persons,foreign_born_population,survey_estimate,selected_published_countries_with_residual_categories_omitted,source_published_hierarchy,foreign_born_country_of_birth_africa_middle_africa_congo,Africa > Middle Africa,Estimate!!Total:!!Africa:!!Middle Africa:!!Congo,B05006,B05006: PLACE OF BIRTH FOR THE FOREIGN-BORN POPULATION IN THE UNITED STATES,BC-2020-204,2016-2020 ACS 5-Year Estimates,https://api.census.gov/data/2020/acs/acs5/groups/B05006.html,bergen_county_2020_acs_immigration_cleaned.csv,retrieved_and_moe_matched,"source_period=2016-2020; geoid=05000US34003; margin_of_error=166; estimate_annotation=none; moe_annotation=none; 2016–2020 ACS 5-Year estimate; sample-based period estimate. Country-only extract from bergen_county_master_provenance.csv. Continent totals, subregion totals, and residual “Other”/n.e.c. categories are excluded, so country rows must not be summed as a complete Africa total."
2020,2016-2020,Bergen County,Democratic Republic of Congo (Zaire),Middle Africa,136,216,,persons,foreign_born_population,survey_estimate,selected_published_countries_with_residual_categories_omitted,source_published_hierarchy,foreign_born_country_of_birth_africa_middle_africa_democratic_republic_of_congo_zaire,Africa > Middle Africa,Estimate!!Total:!!Africa:!!Middle Africa:!!Democratic Republic of Congo (Zaire),B05006,B05006: PLACE OF BIRTH FOR THE FOREIGN-BORN POPULATION IN THE UNITED STATES,BC-2020-205,2016-2020 ACS 5-Year Estimates,https://api.census.gov/data/2020/acs/acs5/groups/B05006.html,bergen_county_2020_acs_immigration_cleaned.csv,retrieved_and_moe_matched,"source_period=2016-2020; geoid=05000US34003; margin_of_error=216; estimate_annotation=none; moe_annotation=none; 2016–2020 ACS 5-Year estimate; sample-based period estimate. Country-only extract from bergen_county_master_provenance.csv. Continent totals, subregion totals, and residual “Other”/n.e.c. categories are excluded, so country rows must not be summed as a complete Africa total."
