crosswalk_id,source_year,geography,source_table,source_section,source_parent_label,source_label,source_universe,source_unit,source_concept,standard_variable,comparability_group,comparability_status,cross_decade_relationship,recommended_series_record,counterpart_year,counterpart_section,counterpart_source_label,rationale,crosswalk_review_status,source_file,notes
BC-1970-013,1970,Bergen County,Table 119: Social Characteristics for Counties: 1970,,,Ireland,Foreign stock,persons,foreign stock by origin,foreign_stock_ireland,country_foreign_stock,no,not_comparable_different_concept,no,1980,Country of birth,Ireland,1970 measures foreign stock (foreign-born plus native persons of foreign or mixed parentage); 1980 measures country of birth among foreign-born persons.,carried_from_verified_1970_metadata,1970a_nj1-08table119.pdf,
BC-1970-014,1970,Bergen County,Table 119: Social Characteristics for Counties: 1970,,,Italy,Foreign stock,persons,foreign stock by origin,foreign_stock_italy,country_foreign_stock,no,not_comparable_different_concept,no,1980,Country of birth,Italy,1970 measures foreign stock (foreign-born plus native persons of foreign or mixed parentage); 1980 measures country of birth among foreign-born persons.,carried_from_verified_1970_metadata,1970a_nj1-08table119.pdf,Not equivalent to foreign-born persons born in Italy
BC-1970-015,1970,Bergen County,Table 119: Social Characteristics for Counties: 1970,,,Mexico,Foreign stock,persons,foreign stock by origin,foreign_stock_mexico,country_foreign_stock,no,not_comparable_different_concept,no,1980,Country of birth,Mexico,1970 measures foreign stock (foreign-born plus native persons of foreign or mixed parentage); 1980 measures country of birth among foreign-born persons.,carried_from_verified_1970_metadata,1970a_nj1-08table119.pdf,
BC-1970-016,1970,Bergen County,Table 119: Social Characteristics for Counties: 1970,,,Native of foreign or mixed parentage,Total population,persons,native population by parental nativity,native_foreign_mixed_parentage,nativity_parentage,partial,concept_family_only,no,1980,Nativity and citizenship,Native,1970 subdivides native persons by parental nativity; 1980 Table 172 provides a single Native total.,carried_from_verified_1970_metadata,1970a_nj1-08table119.pdf,
BC-1970-017,1970,Bergen County,Table 119: Social Characteristics for Counties: 1970,,,Native of native parentage,Total population,persons,native population by parental nativity,native_native_parentage,nativity_parentage,partial,concept_family_only,no,1980,Nativity and citizenship,Native,1970 subdivides native persons by parental nativity; 1980 Table 172 provides a single Native total.,carried_from_verified_1970_metadata,1970a_nj1-08table119.pdf,
BC-1970-018,1970,Bergen County,Table 119: Social Characteristics for Counties: 1970,,,Other,Mother tongue section,persons,mother tongue,mother_tongue_other,mother_tongue,partial,concept_family_only,no,,,,1970 mother tongue and 1980 language spoken at home use different concepts and universes; comparison requires definition review and age alignment.,carried_from_verified_1970_metadata,1970a_nj1-08table119.pdf,
BC-1970-019,1970,Bergen County,Table 119: Social Characteristics for Counties: 1970,,,Other America,Foreign stock,persons,foreign stock by origin,foreign_stock_other_america,country_foreign_stock,no,not_comparable_different_concept,no,,,,1970 measures foreign stock (foreign-born plus native persons of foreign or mixed parentage); 1980 measures country of birth among foreign-born persons.,carried_from_verified_1970_metadata,1970a_nj1-08table119.pdf,
BC-1970-020,1970,Bergen County,Table 119: Social Characteristics for Counties: 1970,,,Persons of Puerto Rican birth or parentage,As defined by source table,persons,historical Spanish-language/origin measure,puerto_rican_birth_parentage,puerto_rican_origin,partial,no_current_1980_counterpart,no,,,,The current 1980 extract contains language-at-home data but no directly equivalent historical Spanish-origin definition.,carried_from_verified_1970_metadata,1970a_nj1-08table119.pdf,Not equivalent to modern Hispanic-origin categories
BC-1970-021,1970,Bergen County,Table 119: Social Characteristics for Counties: 1970,,,Persons of Spanish language,As defined by source table,persons,historical Spanish-language/origin measure,persons_spanish_language,spanish_language_origin,partial,no_current_1980_counterpart,no,,,,The current 1980 extract contains language-at-home data but no directly equivalent historical Spanish-origin definition.,carried_from_verified_1970_metadata,1970a_nj1-08table119.pdf,Historical definition should be checked before comparison
BC-1970-022,1970,Bergen County,Table 119: Social Characteristics for Counties: 1970,,,Persons of Spanish origin or descent,As defined by source table,persons,historical Spanish-language/origin measure,persons_spanish_origin_descent,spanish_origin,partial,no_current_1980_counterpart,no,,,,The current 1980 extract contains language-at-home data but no directly equivalent historical Spanish-origin definition.,carried_from_verified_1970_metadata,1970a_nj1-08table119.pdf,Historical definition should be checked before comparison
BC-1970-023,1970,Bergen County,Table 119: Social Characteristics for Counties: 1970,,,Poland,Foreign stock,persons,foreign stock by origin,foreign_stock_poland,country_foreign_stock,no,not_comparable_different_concept,no,1980,Country of birth,Poland,1970 measures foreign stock (foreign-born plus native persons of foreign or mixed parentage); 1980 measures country of birth among foreign-born persons.,carried_from_verified_1970_metadata,1970a_nj1-08table119.pdf,
BC-1970-024,1970,Bergen County,Table 119: Social Characteristics for Counties: 1970,,,Spanish,Mother tongue section,persons,mother tongue,mother_tongue_spanish,mother_tongue,partial,concept_family_only,no,1980,Language spoken at home: age-specific sections,Spanish,1970 mother tongue and 1980 language spoken at home use different concepts and universes; comparison requires definition review and age alignment.,carried_from_verified_1970_metadata,1970a_nj1-08table119.pdf,
BC-1970-025,1970,Bergen County,Table 119: Social Characteristics for Counties: 1970,,,Sweden,Foreign stock,persons,foreign stock by origin,foreign_stock_sweden,country_foreign_stock,no,not_comparable_different_concept,no,1980,Country of birth,Sweden,1970 measures foreign stock (foreign-born plus native persons of foreign or mixed parentage); 1980 measures country of birth among foreign-born persons.,carried_from_verified_1970_metadata,1970a_nj1-08table119.pdf,
BC-1970-026,1970,Bergen County,Table 119: Social Characteristics for Counties: 1970,,,Total,Mother tongue section,persons,mother tongue,mother_tongue_total,mother_tongue,partial,concept_family_only,no,1980,Language spoken at home and ability to speak English,Persons 5 years and over,1970 mother tongue and 1980 language spoken at home use different concepts and universes; comparison requires definition review and age alignment.,carried_from_verified_1970_metadata,1970a_nj1-08table119.pdf,
BC-1970-027,1970,Bergen County,Table 119: Social Characteristics for Counties: 1970,,,Total foreign stock,Total population,persons,total foreign stock,total_foreign_stock,foreign_stock,no,not_comparable_different_concept,no,1980,Nativity and citizenship,Foreign born,"Foreign stock includes foreign-born persons and native persons of foreign or mixed parentage, so it is not the 1980 foreign-born total.",carried_from_verified_1970_metadata,1970a_nj1-08table119.pdf,Do not compare directly with foreign-born population
BC-1970-028,1970,Bergen County,Table 119: Social Characteristics for Counties: 1970,,,Total population,Total population,persons,total population,total_population,total_population,yes,direct_core_measure,yes,1980,Nativity and citizenship,Total persons,Both observations report the total Bergen County population for the Census year.,carried_from_verified_1970_metadata,1970a_nj1-08table119.pdf,
BC-1970-029,1970,Bergen County,Table 119: Social Characteristics for Counties: 1970,,,U.S.S.R.,Foreign stock,persons,foreign stock by origin,foreign_stock_ussr,country_foreign_stock,no,not_comparable_different_concept,no,1980,Country of birth,U.S.S.R.,1970 measures foreign stock (foreign-born plus native persons of foreign or mixed parentage); 1980 measures country of birth among foreign-born persons.,carried_from_verified_1970_metadata,1970a_nj1-08table119.pdf,
BC-1970-030,1970,Bergen County,Table 119: Social Characteristics for Counties: 1970,,,United Kingdom,Foreign stock,persons,foreign stock by origin,foreign_stock_united_kingdom,country_foreign_stock,no,not_comparable_different_concept,no,1980,Country of birth,United Kingdom,1970 measures foreign stock (foreign-born plus native persons of foreign or mixed parentage); 1980 measures country of birth among foreign-born persons.,carried_from_verified_1970_metadata,1970a_nj1-08table119.pdf,Not equivalent to foreign-born persons born in the United Kingdom
BC-1970-031,1970,Bergen County,Tabulation 22: Country of Origin and Nativity (15%),Country of origin and nativity,,Asia,Foreign-born persons,persons,country or region of origin among foreign-born persons,foreign_born_country_of_birth_asia,country_of_birth,partial,same_broad_region_with_category_caution,yes,1980,Country of birth,Asia,"The 1970 NT22 foreign-born origin category provides the closest available counterpart, subject to historical category-definition review.",generated_from_verified_1970_fourth_count,CEN70.CT4CP.NJ.TXT,"1970 Fourth Count 15% sample tabulation. County value decoded from NT22 and constructed by summing Urban Total (record 01), Rural Nonfarm Total (05), and Rural Farm Total (09). NT22 reconciles exactly to 95,393 foreign-born persons and 352,196 foreign-stock persons. Asia is a complete sum of the four Asian-origin categories published in NT22: 2,540 + 637 + 571 + 1,272 = 5,020."
BC-1970-032,1970,Bergen County,Tabulation 22: Country of Origin and Nativity (15%),Country of origin and nativity,Asia (1970 published categories),Southwest Asia,Foreign-born persons,persons,country or region of origin among foreign-born persons,foreign_born_country_of_birth_southwest_asia,country_of_birth,no,historical_region_definition_requires_review,no,,,,No exact later counterpart is assigned because this is a historical regional or residual category.,generated_from_verified_1970_fourth_count,CEN70.CT4CP.NJ.TXT,"1970 Fourth Count 15% sample tabulation. County value decoded from NT22 and constructed by summing Urban Total (record 01), Rural Nonfarm Total (05), and Rural Farm Total (09). NT22 reconciles exactly to 95,393 foreign-born persons and 352,196 foreign-stock persons. “Southwest Asia” is the historical Census label and should not automatically be treated as identical to later Western Asia."
BC-1970-033,1970,Bergen County,Tabulation 22: Country of Origin and Nativity (15%),Country of origin and nativity,Asia (1970 published categories),China,Foreign-born persons,persons,country or region of origin among foreign-born persons,foreign_born_country_of_birth_china,country_of_birth,partial,direct_country_label_with_boundary_caution,yes,1980,Country of birth,China,"The 1970 NT22 foreign-born origin category provides the closest available counterpart, subject to historical category-definition review.",generated_from_verified_1970_fourth_count,CEN70.CT4CP.NJ.TXT,"1970 Fourth Count 15% sample tabulation. County value decoded from NT22 and constructed by summing Urban Total (record 01), Rural Nonfarm Total (05), and Rural Farm Total (09). NT22 reconciles exactly to 95,393 foreign-born persons and 352,196 foreign-stock persons. Historical China geographic treatment may differ from later tables that separately identify Hong Kong and Taiwan."
BC-1970-034,1970,Bergen County,Tabulation 22: Country of Origin and Nativity (15%),Country of origin and nativity,Asia (1970 published categories),Japan,Foreign-born persons,persons,country or region of origin among foreign-born persons,foreign_born_country_of_birth_japan,country_of_birth,partial,direct_country_match,yes,1980,Country of birth,Japan,"The 1970 NT22 foreign-born origin category provides the closest available counterpart, subject to historical category-definition review.",generated_from_verified_1970_fourth_count,CEN70.CT4CP.NJ.TXT,"1970 Fourth Count 15% sample tabulation. County value decoded from NT22 and constructed by summing Urban Total (record 01), Rural Nonfarm Total (05), and Rural Farm Total (09). NT22 reconciles exactly to 95,393 foreign-born persons and 352,196 foreign-stock persons."
BC-1970-035,1970,Bergen County,Tabulation 22: Country of Origin and Nativity (15%),Country of origin and nativity,Asia (1970 published categories),Other Asia,Foreign-born persons,persons,country or region of origin among foreign-born persons,foreign_born_country_of_birth_other_asia,country_of_birth,no,residual_category_not_directly_comparable,no,,,,No exact later counterpart is assigned because this is a historical regional or residual category.,generated_from_verified_1970_fourth_count,CEN70.CT4CP.NJ.TXT,"1970 Fourth Count 15% sample tabulation. County value decoded from NT22 and constructed by summing Urban Total (record 01), Rural Nonfarm Total (05), and Rural Farm Total (09). NT22 reconciles exactly to 95,393 foreign-born persons and 352,196 foreign-stock persons. Residual “Other Asia” cannot be split into individual countries from NT22."
BC-1970-036,1970,Bergen County,Tabulation 22: Country of Origin and Nativity (15%),Country of origin and nativity,,Europe,Foreign-born persons,persons,country or region of origin among foreign-born persons,foreign_born_country_of_birth_europe,country_of_birth,partial,same_broad_region_with_category_caution,yes,1980,Country of birth,Europe,Both observations measure European origins among foreign-born persons; historical country-group definitions should still be reviewed.,generated_from_verified_1970_fourth_count,CEN70.CT4CP.NJ.TXT,"1970 Fourth Count 15% sample tabulation. Derived by summing all 22 European-origin categories in the foreign-born half of NT22 across Urban Total (record 01), Rural Nonfarm Total (05), and Rural Farm Total (09). The result is 75,188 and NT22 reconciles exactly to 95,393 foreign-born persons and 352,196 foreign-stock persons."
BC-1970-037,1970,Bergen County,Tabulation 22: Country of Origin and Nativity (15%),Country of origin and nativity,,Africa,Foreign-born persons,persons,country or region of origin among foreign-born persons,foreign_born_country_of_birth_africa,country_of_birth,partial,same_broad_region_with_category_caution,yes,1980,Country of birth,North Africa + Other Africa,The 1970 NT22 Africa field and the complete 1980 sum of North Africa plus Other Africa both measure African origins among foreign-born persons; historical category definitions should still be reviewed.,generated_from_verified_1970_fourth_count,CEN70.CT4CP.NJ.TXT,"1970 Fourth Count 15% sample tabulation. County value decoded from the direct NT22 Africa field and constructed by summing Urban Total (659), Rural Nonfarm Total (0), and Rural Farm Total (0). NT22 reconciles exactly to 95,393 foreign-born persons and 352,196 foreign-stock persons. The Africa value is not printed separately in New Jersey Table 119."
BC-1970-038,1970,Bergen County,Tabulation 22: Country of Origin and Nativity (15%),Country of origin and nativity,Latin America,Mexico,Foreign-born persons,persons,country or region of origin among foreign-born persons,foreign_born_country_of_birth_mexico,country_of_birth,yes,direct_country_match,yes,1980,Country of birth,Mexico,Both observations directly report Mexico among foreign-born persons; the 1970 value comes from the 15% sample Fourth Count tabulation.,generated_from_verified_1970_fourth_count,CEN70.CT4CP.NJ.TXT,"1970 Fourth Count 15% sample tabulation. County value decoded from the direct NT22 Mexico field and constructed by summing Urban Total (199), Rural Nonfarm Total (0), and Rural Farm Total (0). NT22 reconciles exactly to 95,393 foreign-born persons and 352,196 foreign-stock persons."
BC-1970-039,1970,Bergen County,Tabulation 22: Country of Origin and Nativity (15%),Country of origin and nativity,Latin America,Cuba,Foreign-born persons,persons,country or region of origin among foreign-born persons,foreign_born_country_of_birth_cuba,country_of_birth,yes,direct_country_match,yes,1980,Country of birth,Cuba,Both observations directly report Cuba among foreign-born persons; the 1970 value comes from the 15% sample Fourth Count tabulation.,generated_from_verified_1970_fourth_count,CEN70.CT4CP.NJ.TXT,"1970 Fourth Count 15% sample tabulation. County value decoded from the direct NT22 Cuba field and constructed by summing Urban Total (2,145), Rural Nonfarm Total (0), and Rural Farm Total (0). NT22 reconciles exactly to 95,393 foreign-born persons and 352,196 foreign-stock persons."
BC-1980-031,1980,Bergen County,Table 172: Nativity and Language for Counties: 1980,Country of birth,,All other countries,Foreign born persons,persons,country or region of birth among foreign-born persons,foreign_born_country_of_birth_all_other_countries,country_of_birth,no,not_comparable_to_1970_foreign_stock,no,,,,1980 measures country or region of birth among foreign-born persons; the available 1970 origin rows measure foreign stock and are not the same series.,provisional_definition_review_needed,1980a_njc-09table172.pdf,
BC-1980-032,1980,Bergen County,Table 172: Nativity and Language for Counties: 1980,Country of birth,,Asia,Foreign born persons,persons,country or region of birth among foreign-born persons,foreign_born_country_of_birth_asia,country_of_birth,no,not_comparable_to_1970_foreign_stock,no,,,,1980 measures country or region of birth among foreign-born persons; the available 1970 origin rows measure foreign stock and are not the same series.,provisional_definition_review_needed,1980a_njc-09table172.pdf,
BC-1980-033,1980,Bergen County,Table 172: Nativity and Language for Counties: 1980,Country of birth,,Austria,Foreign born persons,persons,country or region of birth among foreign-born persons,foreign_born_country_of_birth_austria,country_of_birth,no,not_comparable_to_1970_foreign_stock,no,1970,,Austria,1980 measures country or region of birth among foreign-born persons; the available 1970 origin rows measure foreign stock and are not the same series.,provisional_definition_review_needed,1980a_njc-09table172.pdf,
BC-1980-034,1980,Bergen County,Table 172: Nativity and Language for Counties: 1980,Country of birth,,Canada,Foreign born persons,persons,country or region of birth among foreign-born persons,foreign_born_country_of_birth_canada,country_of_birth,no,not_comparable_to_1970_foreign_stock,no,1970,,Canada,1980 measures country or region of birth among foreign-born persons; the available 1970 origin rows measure foreign stock and are not the same series.,provisional_definition_review_needed,1980a_njc-09table172.pdf,
BC-1980-035,1980,Bergen County,Table 172: Nativity and Language for Counties: 1980,Country of birth,,China,Foreign born persons,persons,country or region of birth among foreign-born persons,foreign_born_country_of_birth_china,country_of_birth,no,not_comparable_to_1970_foreign_stock,no,,,,1980 measures country or region of birth among foreign-born persons; the available 1970 origin rows measure foreign stock and are not the same series.,provisional_definition_review_needed,1980a_njc-09table172.pdf,
BC-1980-036,1980,Bergen County,Table 172: Nativity and Language for Counties: 1980,Country of birth,,Country not reported,Foreign born persons,persons,country or region of birth among foreign-born persons,foreign_born_country_of_birth_country_not_reported,country_of_birth,no,not_comparable_to_1970_foreign_stock,no,,,,1980 measures country or region of birth among foreign-born persons; the available 1970 origin rows measure foreign stock and are not the same series.,provisional_definition_review_needed,1980a_njc-09table172.pdf,
BC-1980-037,1980,Bergen County,Table 172: Nativity and Language for Counties: 1980,Country of birth,,Cuba,Foreign born persons,persons,country or region of birth among foreign-born persons,foreign_born_country_of_birth_cuba,country_of_birth,yes,direct_country_match,yes,1970,Country of origin and nativity,Cuba,Both observations directly report Cuba among foreign-born persons; the 1970 value comes from the 15% sample Fourth Count tabulation.,updated_from_verified_1970_fourth_count,1980a_njc-09table172.pdf,Subcategory of West Indies
BC-1980-038,1980,Bergen County,Table 172: Nativity and Language for Counties: 1980,Country of birth,,Czechoslovakia,Foreign born persons,persons,country or region of birth among foreign-born persons,foreign_born_country_of_birth_czechoslovakia,country_of_birth,no,not_comparable_to_1970_foreign_stock,no,1970,,Czechoslovakia,1980 measures country or region of birth among foreign-born persons; the available 1970 origin rows measure foreign stock and are not the same series.,provisional_definition_review_needed,1980a_njc-09table172.pdf,
BC-1980-039,1980,Bergen County,Table 172: Nativity and Language for Counties: 1980,Country of birth,,Dominican Republic,Foreign born persons,persons,country or region of birth among foreign-born persons,foreign_born_country_of_birth_dominican_republic,country_of_birth,no,not_comparable_to_1970_foreign_stock,no,,,,1980 measures country or region of birth among foreign-born persons; the available 1970 origin rows measure foreign stock and are not the same series.,provisional_definition_review_needed,1980a_njc-09table172.pdf,Subcategory of West Indies
BC-1980-040,1980,Bergen County,Table 172: Nativity and Language for Counties: 1980,Country of birth,Europe > United Kingdom,England,Foreign born persons,persons,country or region of birth among foreign-born persons,foreign_born_country_of_birth_england,country_of_birth,no,not_comparable_to_1970_foreign_stock,no,,,,1980 measures country or region of birth among foreign-born persons; the available 1970 origin rows measure foreign stock and are not the same series.,provisional_definition_review_needed,1980a_njc-09table172.pdf,Subcategory of United Kingdom
BC-1980-041,1980,Bergen County,Table 172: Nativity and Language for Counties: 1980,Country of birth,,Europe,Foreign born persons,persons,country or region of birth among foreign-born persons,foreign_born_country_of_birth_europe,country_of_birth,partial,same_broad_region_with_category_caution,yes,1970,Country of origin and nativity,Europe,Both observations measure European origins among foreign-born persons; historical country-group definitions should still be reviewed.,reviewed_against_verified_1970_fourth_count,1980a_njc-09table172.pdf,
BC-1980-042,1980,Bergen County,Table 172: Nativity and Language for Counties: 1980,Country of birth,,Foreign born persons,Foreign born persons,persons,foreign-born population section total,foreign_born_population,foreign_born_population,yes,alternate_section_total,no,1970,,Foreign born,"Conceptually comparable to the core foreign-born total, but the Nativity and citizenship row is the recommended 1980 series record to avoid duplicate counting.",reviewed_core_definition,1980a_njc-09table172.pdf,Estimate based on a sample
BC-1980-043,1980,Bergen County,Table 172: Nativity and Language for Counties: 1980,Country of birth,,France,Foreign born persons,persons,country or region of birth among foreign-born persons,foreign_born_country_of_birth_france,country_of_birth,no,not_comparable_to_1970_foreign_stock,no,,,,1980 measures country or region of birth among foreign-born persons; the available 1970 origin rows measure foreign stock and are not the same series.,provisional_definition_review_needed,1980a_njc-09table172.pdf,
BC-1980-044,1980,Bergen County,Table 172: Nativity and Language for Counties: 1980,Country of birth,,Germany,Foreign born persons,persons,country or region of birth among foreign-born persons,foreign_born_country_of_birth_germany,country_of_birth,no,not_comparable_to_1970_foreign_stock,no,1970,,Germany,1980 measures country or region of birth among foreign-born persons; the available 1970 origin rows measure foreign stock and are not the same series.,provisional_definition_review_needed,1980a_njc-09table172.pdf,
BC-1980-045,1980,Bergen County,Table 172: Nativity and Language for Counties: 1980,Country of birth,,Greece,Foreign born persons,persons,country or region of birth among foreign-born persons,foreign_born_country_of_birth_greece,country_of_birth,no,not_comparable_to_1970_foreign_stock,no,,,,1980 measures country or region of birth among foreign-born persons; the available 1970 origin rows measure foreign stock and are not the same series.,provisional_definition_review_needed,1980a_njc-09table172.pdf,
BC-1980-046,1980,Bergen County,Table 172: Nativity and Language for Counties: 1980,Country of birth,,Hungary,Foreign born persons,persons,country or region of birth among foreign-born persons,foreign_born_country_of_birth_hungary,country_of_birth,no,not_comparable_to_1970_foreign_stock,no,1970,,Hungary,1980 measures country or region of birth among foreign-born persons; the available 1970 origin rows measure foreign stock and are not the same series.,provisional_definition_review_needed,1980a_njc-09table172.pdf,
BC-1980-047,1980,Bergen County,Table 172: Nativity and Language for Counties: 1980,Country of birth,,India,Foreign born persons,persons,country or region of birth among foreign-born persons,foreign_born_country_of_birth_india,country_of_birth,no,not_comparable_to_1970_foreign_stock,no,,,,1980 measures country or region of birth among foreign-born persons; the available 1970 origin rows measure foreign stock and are not the same series.,provisional_definition_review_needed,1980a_njc-09table172.pdf,
BC-1980-048,1980,Bergen County,Table 172: Nativity and Language for Counties: 1980,Country of birth,,Ireland,Foreign born persons,persons,country or region of birth among foreign-born persons,foreign_born_country_of_birth_ireland,country_of_birth,no,not_comparable_to_1970_foreign_stock,no,1970,,Ireland,1980 measures country or region of birth among foreign-born persons; the available 1970 origin rows measure foreign stock and are not the same series.,provisional_definition_review_needed,1980a_njc-09table172.pdf,
BC-1980-049,1980,Bergen County,Table 172: Nativity and Language for Counties: 1980,Country of birth,,Italy,Foreign born persons,persons,country or region of birth among foreign-born persons,foreign_born_country_of_birth_italy,country_of_birth,no,not_comparable_to_1970_foreign_stock,no,1970,,Italy,1980 measures country or region of birth among foreign-born persons; the available 1970 origin rows measure foreign stock and are not the same series.,provisional_definition_review_needed,1980a_njc-09table172.pdf,
BC-1980-050,1980,Bergen County,Table 172: Nativity and Language for Counties: 1980,Country of birth,,Jamaica,Foreign born persons,persons,country or region of birth among foreign-born persons,foreign_born_country_of_birth_jamaica,country_of_birth,no,not_comparable_to_1970_foreign_stock,no,,,,1980 measures country or region of birth among foreign-born persons; the available 1970 origin rows measure foreign stock and are not the same series.,provisional_definition_review_needed,1980a_njc-09table172.pdf,Subcategory of West Indies
BC-1980-051,1980,Bergen County,Table 172: Nativity and Language for Counties: 1980,Country of birth,,Japan,Foreign born persons,persons,country or region of birth among foreign-born persons,foreign_born_country_of_birth_japan,country_of_birth,no,not_comparable_to_1970_foreign_stock,no,,,,1980 measures country or region of birth among foreign-born persons; the available 1970 origin rows measure foreign stock and are not the same series.,provisional_definition_review_needed,1980a_njc-09table172.pdf,
BC-1980-052,1980,Bergen County,Table 172: Nativity and Language for Counties: 1980,Country of birth,,Korea,Foreign born persons,persons,country or region of birth among foreign-born persons,foreign_born_country_of_birth_korea,country_of_birth,no,not_comparable_to_1970_foreign_stock,no,,,,1980 measures country or region of birth among foreign-born persons; the available 1970 origin rows measure foreign stock and are not the same series.,provisional_definition_review_needed,1980a_njc-09table172.pdf,
BC-1980-053,1980,Bergen County,Table 172: Nativity and Language for Counties: 1980,Country of birth,,Mexico,Foreign born persons,persons,country or region of birth among foreign-born persons,foreign_born_country_of_birth_mexico,country_of_birth,yes,direct_country_match,yes,1970,Country of origin and nativity,Mexico,Both observations directly report Mexico among foreign-born persons; the 1970 value comes from the 15% sample Fourth Count tabulation.,updated_from_verified_1970_fourth_count,1980a_njc-09table172.pdf,
