year,geography,state,standard_variable,source_label,value,unit,value_type,formula,universe,publication,table,page,source_file,source_column,definition,comparability_group,comparability_status,extraction_method,verification_status,notes
1970,Bergen County,New Jersey,puerto_rican_birth_parentage,Persons of Puerto Rican birth or parentage,3918,persons,reported,,As defined by source table,1970 Census of Population,Table 119: Social Characteristics for Counties: 1970,32-549,1970a_nj1-08table119.pdf,Bergen,Persons of Puerto Rican birth or parentage,puerto_rican_origin,partial,AI_visual,verified,Not equivalent to modern Hispanic-origin categories
1970,Bergen County,New Jersey,mother_tongue_total,Total,898012,persons,reported,,Mother tongue section,1970 Census of Population,Table 119: Social Characteristics for Counties: 1970,32-549,1970a_nj1-08table119.pdf,Bergen,Total population in mother tongue section,mother_tongue,partial,AI_visual,verified,
1970,Bergen County,New Jersey,mother_tongue_english,English,601502,persons,reported,,Mother tongue section,1970 Census of Population,Table 119: Social Characteristics for Counties: 1970,32-549,1970a_nj1-08table119.pdf,Bergen,English mother tongue,mother_tongue,partial,AI_visual,verified,
1970,Bergen County,New Jersey,mother_tongue_french,French,7521,persons,reported,,Mother tongue section,1970 Census of Population,Table 119: Social Characteristics for Counties: 1970,32-549,1970a_nj1-08table119.pdf,Bergen,French mother tongue,mother_tongue,partial,AI_visual,verified,
1970,Bergen County,New Jersey,mother_tongue_german,German,49828,persons,reported,,Mother tongue section,1970 Census of Population,Table 119: Social Characteristics for Counties: 1970,32-549,1970a_nj1-08table119.pdf,Bergen,German mother tongue,mother_tongue,partial,AI_visual,verified,
1970,Bergen County,New Jersey,mother_tongue_spanish,Spanish,15286,persons,reported,,Mother tongue section,1970 Census of Population,Table 119: Social Characteristics for Counties: 1970,32-549,1970a_nj1-08table119.pdf,Bergen,Spanish mother tongue,mother_tongue,partial,AI_visual,verified,
1970,Bergen County,New Jersey,mother_tongue_other,Other,223875,persons,reported,,Mother tongue section,1970 Census of Population,Table 119: Social Characteristics for Counties: 1970,32-549,1970a_nj1-08table119.pdf,Bergen,Other mother tongue,mother_tongue,partial,AI_visual,verified,
1970,Bergen County,New Jersey,foreign_born_country_of_birth_asia,Asia,5020,persons,derived,Southwest Asia + China + Japan + Other Asia,Foreign-born persons,1970 Census of Population: Fourth Count Population Summary Tape,Tabulation 22: Country of Origin and Nativity (15%),4th Count (Pop.) - 22,CEN70.CT4CP.NJ.TXT,Foreign born!!Asia (sum of four published Asian-origin categories),Asia among foreign-born persons,country_of_birth,partial,fixed_width_fourth_count_decode,decoded_and_reconciled,"1970 Fourth Count 15% sample tabulation. County value decoded from NT22 and constructed by summing Urban Total (record 01), Rural Nonfarm Total (05), and Rural Farm Total (09). NT22 reconciles exactly to 95,393 foreign-born persons and 352,196 foreign-stock persons. Asia is a complete sum of the four Asian-origin categories published in NT22: 2,540 + 637 + 571 + 1,272 = 5,020."
1970,Bergen County,New Jersey,foreign_born_country_of_birth_southwest_asia,Southwest Asia,2540,persons,reported,,Foreign-born persons,1970 Census of Population: Fourth Count Population Summary Tape,Tabulation 22: Country of Origin and Nativity (15%),4th Count (Pop.) - 22,CEN70.CT4CP.NJ.TXT,Foreign born!!Southwest Asia,Southwest Asia among foreign-born persons,country_of_birth,no,fixed_width_fourth_count_decode,decoded_and_reconciled,"1970 Fourth Count 15% sample tabulation. County value decoded from NT22 and constructed by summing Urban Total (record 01), Rural Nonfarm Total (05), and Rural Farm Total (09). NT22 reconciles exactly to 95,393 foreign-born persons and 352,196 foreign-stock persons. “Southwest Asia” is the historical Census label and should not automatically be treated as identical to later Western Asia."
1970,Bergen County,New Jersey,foreign_born_country_of_birth_china,China,637,persons,reported,,Foreign-born persons,1970 Census of Population: Fourth Count Population Summary Tape,Tabulation 22: Country of Origin and Nativity (15%),4th Count (Pop.) - 22,CEN70.CT4CP.NJ.TXT,Foreign born!!China,China among foreign-born persons,country_of_birth,partial,fixed_width_fourth_count_decode,decoded_and_reconciled,"1970 Fourth Count 15% sample tabulation. County value decoded from NT22 and constructed by summing Urban Total (record 01), Rural Nonfarm Total (05), and Rural Farm Total (09). NT22 reconciles exactly to 95,393 foreign-born persons and 352,196 foreign-stock persons. Historical China geographic treatment may differ from later tables that separately identify Hong Kong and Taiwan."
1970,Bergen County,New Jersey,foreign_born_country_of_birth_japan,Japan,571,persons,reported,,Foreign-born persons,1970 Census of Population: Fourth Count Population Summary Tape,Tabulation 22: Country of Origin and Nativity (15%),4th Count (Pop.) - 22,CEN70.CT4CP.NJ.TXT,Foreign born!!Japan,Japan among foreign-born persons,country_of_birth,partial,fixed_width_fourth_count_decode,decoded_and_reconciled,"1970 Fourth Count 15% sample tabulation. County value decoded from NT22 and constructed by summing Urban Total (record 01), Rural Nonfarm Total (05), and Rural Farm Total (09). NT22 reconciles exactly to 95,393 foreign-born persons and 352,196 foreign-stock persons."
1970,Bergen County,New Jersey,foreign_born_country_of_birth_other_asia,Other Asia,1272,persons,reported,,Foreign-born persons,1970 Census of Population: Fourth Count Population Summary Tape,Tabulation 22: Country of Origin and Nativity (15%),4th Count (Pop.) - 22,CEN70.CT4CP.NJ.TXT,Foreign born!!Other Asia,Other Asia among foreign-born persons,country_of_birth,no,fixed_width_fourth_count_decode,decoded_and_reconciled,"1970 Fourth Count 15% sample tabulation. County value decoded from NT22 and constructed by summing Urban Total (record 01), Rural Nonfarm Total (05), and Rural Farm Total (09). NT22 reconciles exactly to 95,393 foreign-born persons and 352,196 foreign-stock persons. Residual “Other Asia” cannot be split into individual countries from NT22."
1970,Bergen County,New Jersey,foreign_born_country_of_birth_mexico,Mexico,199,persons,reported,,Foreign-born persons,1970 Census of Population: Fourth Count Population Summary Tape,Tabulation 22: Country of Origin and Nativity (15%),4th Count (Pop.) - 22,CEN70.CT4CP.NJ.TXT,Foreign born!!Mexico,Mexico among foreign-born persons,country_of_birth,yes,fixed_width_fourth_count_decode,decoded_and_reconciled,"1970 Fourth Count 15% sample tabulation. County value decoded from the direct NT22 Mexico field and constructed by summing Urban Total (199), Rural Nonfarm Total (0), and Rural Farm Total (0). NT22 reconciles exactly to 95,393 foreign-born persons and 352,196 foreign-stock persons."
1970,Bergen County,New Jersey,foreign_born_country_of_birth_cuba,Cuba,2145,persons,reported,,Foreign-born persons,1970 Census of Population: Fourth Count Population Summary Tape,Tabulation 22: Country of Origin and Nativity (15%),4th Count (Pop.) - 22,CEN70.CT4CP.NJ.TXT,Foreign born!!Cuba,Cuba among foreign-born persons,country_of_birth,yes,fixed_width_fourth_count_decode,decoded_and_reconciled,"1970 Fourth Count 15% sample tabulation. County value decoded from the direct NT22 Cuba field and constructed by summing Urban Total (2,145), Rural Nonfarm Total (0), and Rural Farm Total (0). NT22 reconciles exactly to 95,393 foreign-born persons and 352,196 foreign-stock persons."
