year,geography,state,section,parent_label,standard_variable,source_label,value,source_symbol,unit,value_type,formula,universe,publication,table,table_number,table_title,source_family,table_id,variable_id,variable_path,official_source_url,page,source_file,source_column,definition,comparability_group,comparability_status,extraction_method,verification_status,crosswalk_id,source_concept,cross_decade_relationship,recommended_series_record,counterpart_year,counterpart_section,counterpart_source_label,crosswalk_rationale,crosswalk_review_status,notes
1970,Bergen County,New Jersey,,,puerto_rican_birth_parentage,Persons of Puerto Rican birth or parentage,3918.0,,persons,reported,,As defined by source table,1970 Census of Population,Table 119: Social Characteristics for Counties: 1970,,,,,,,,32-549,1970a_nj1-08table119.pdf,Bergen,Persons of Puerto Rican birth or parentage,puerto_rican_origin,partial,AI_visual,verified,BC-1970-020,historical Spanish-language/origin measure,no_current_1980_counterpart,no,,,,The current 1980 extract contains language-at-home data but no directly equivalent historical Spanish-origin definition.,carried_from_verified_1970_metadata,Not equivalent to modern Hispanic-origin categories
1970,Bergen County,New Jersey,,,persons_spanish_language,Persons of Spanish language,22145.0,,persons,reported,,As defined by source table,1970 Census of Population,Table 119: Social Characteristics for Counties: 1970,,,,,,,,32-549,1970a_nj1-08table119.pdf,Bergen,Persons of Spanish language; see Census definition,spanish_language_origin,partial,AI_visual,verified,BC-1970-021,historical Spanish-language/origin measure,no_current_1980_counterpart,no,,,,The current 1980 extract contains language-at-home data but no directly equivalent historical Spanish-origin definition.,carried_from_verified_1970_metadata,Historical definition should be checked before comparison
1970,Bergen County,New Jersey,,,persons_spanish_origin_descent,Persons of Spanish origin or descent,16565.0,,persons,reported,,As defined by source table,1970 Census of Population,Table 119: Social Characteristics for Counties: 1970,,,,,,,,32-549,1970a_nj1-08table119.pdf,Bergen,Persons of Spanish origin or descent,spanish_origin,partial,AI_visual,verified,BC-1970-022,historical Spanish-language/origin measure,no_current_1980_counterpart,no,,,,The current 1980 extract contains language-at-home data but no directly equivalent historical Spanish-origin definition.,carried_from_verified_1970_metadata,Historical definition should be checked before comparison
1970,Bergen County,New Jersey,,,foreign_stock_poland,Poland,31390.0,,persons,reported,,Foreign stock,1970 Census of Population,Table 119: Social Characteristics for Counties: 1970,,,,,,,,32-549,1970a_nj1-08table119.pdf,Bergen,Foreign stock associated with Poland,country_foreign_stock,no,AI_visual,verified,BC-1970-023,foreign stock by origin,not_comparable_different_concept,no,1980,Country of birth,Poland,1970 measures foreign stock (foreign-born plus native persons of foreign or mixed parentage); 1980 measures country of birth among foreign-born persons.,carried_from_verified_1970_metadata,
1970,Bergen County,New Jersey,,,mother_tongue_spanish,Spanish,15286.0,,persons,reported,,Mother tongue section,1970 Census of Population,Table 119: Social Characteristics for Counties: 1970,,,,,,,,32-549,1970a_nj1-08table119.pdf,Bergen,Spanish mother tongue,mother_tongue,partial,AI_visual,verified,BC-1970-024,mother tongue,concept_family_only,no,1980,Language spoken at home: age-specific sections,Spanish,1970 mother tongue and 1980 language spoken at home use different concepts and universes; comparison requires definition review and age alignment.,carried_from_verified_1970_metadata,
1970,Bergen County,New Jersey,,,foreign_stock_sweden,Sweden,3426.0,,persons,reported,,Foreign stock,1970 Census of Population,Table 119: Social Characteristics for Counties: 1970,,,,,,,,32-549,1970a_nj1-08table119.pdf,Bergen,Foreign stock associated with Sweden,country_foreign_stock,no,AI_visual,verified,BC-1970-025,foreign stock by origin,not_comparable_different_concept,no,1980,Country of birth,Sweden,1970 measures foreign stock (foreign-born plus native persons of foreign or mixed parentage); 1980 measures country of birth among foreign-born persons.,carried_from_verified_1970_metadata,
1970,Bergen County,New Jersey,,,mother_tongue_total,Total,898012.0,,persons,reported,,Mother tongue section,1970 Census of Population,Table 119: Social Characteristics for Counties: 1970,,,,,,,,32-549,1970a_nj1-08table119.pdf,Bergen,Total population in mother tongue section,mother_tongue,partial,AI_visual,verified,BC-1970-026,mother tongue,concept_family_only,no,1980,Language spoken at home and ability to speak English,Persons 5 years and over,1970 mother tongue and 1980 language spoken at home use different concepts and universes; comparison requires definition review and age alignment.,carried_from_verified_1970_metadata,
1970,Bergen County,New Jersey,,,total_foreign_stock,Total foreign stock,352196.0,,persons,reported,,Total population,1970 Census of Population,Table 119: Social Characteristics for Counties: 1970,,,,,,,,32-549,1970a_nj1-08table119.pdf,Bergen,Foreign born plus native population of foreign or mixed parentage,foreign_stock,no,AI_visual,verified,BC-1970-027,total foreign stock,not_comparable_different_concept,no,1980,Nativity and citizenship,Foreign born,"Foreign stock includes foreign-born persons and native persons of foreign or mixed parentage, so it is not the 1980 foreign-born total.",carried_from_verified_1970_metadata,Do not compare directly with foreign-born population
1970,Bergen County,New Jersey,,,total_population,Total population,898012.0,,persons,reported,,Total population,1970 Census of Population,Table 119: Social Characteristics for Counties: 1970,,,,,,,,32-549,1970a_nj1-08table119.pdf,Bergen,Total population,total_population,yes,AI_visual,verified,BC-1970-028,total population,direct_core_measure,yes,1980,Nativity and citizenship,Total persons,Both observations report the total Bergen County population for the Census year.,carried_from_verified_1970_metadata,
1970,Bergen County,New Jersey,,,foreign_stock_ussr,U.S.S.R.,21190.0,,persons,reported,,Foreign stock,1970 Census of Population,Table 119: Social Characteristics for Counties: 1970,,,,,,,,32-549,1970a_nj1-08table119.pdf,Bergen,Foreign stock associated with U.S.S.R.,country_foreign_stock,no,AI_visual,verified,BC-1970-029,foreign stock by origin,not_comparable_different_concept,no,1980,Country of birth,U.S.S.R.,1970 measures foreign stock (foreign-born plus native persons of foreign or mixed parentage); 1980 measures country of birth among foreign-born persons.,carried_from_verified_1970_metadata,
1970,Bergen County,New Jersey,,,foreign_stock_united_kingdom,United Kingdom,24852.0,,persons,reported,,Foreign stock,1970 Census of Population,Table 119: Social Characteristics for Counties: 1970,,,,,,,,32-549,1970a_nj1-08table119.pdf,Bergen,Foreign stock associated with United Kingdom,country_foreign_stock,no,AI_visual,verified,BC-1970-030,foreign stock by origin,not_comparable_different_concept,no,1980,Country of birth,United Kingdom,1970 measures foreign stock (foreign-born plus native persons of foreign or mixed parentage); 1980 measures country of birth among foreign-born persons.,carried_from_verified_1970_metadata,Not equivalent to foreign-born persons born in the United Kingdom
1970,Bergen County,New Jersey,Country of origin and nativity,,foreign_born_country_of_birth_asia,Asia,5020,,persons,derived,Southwest Asia + China + Japan + Other Asia,Foreign-born persons,1970 Census of Population: Fourth Count Population Summary Tape,Tabulation 22: Country of Origin and Nativity (15%),22,Country of Origin and Nativity (15%),Fourth Count Population,NT22,NT22_FB_ASIA,Foreign born!!Asia (sum of four published Asian-origin categories),https://catalog.archives.gov/id/594239,4th Count (Pop.) - 22,CEN70.CT4CP.NJ.TXT,Foreign born!!Asia (sum of four published Asian-origin categories),Asia among foreign-born persons,country_of_birth,partial,fixed_width_fourth_count_decode,decoded_and_reconciled,BC-1970-031,country or region of origin among foreign-born persons,same_broad_region_with_category_caution,yes,1980,Country of birth,Asia,"The 1970 NT22 foreign-born origin category provides the closest available counterpart, subject to historical category-definition review.",generated_from_verified_1970_fourth_count,"1970 Fourth Count 15% sample tabulation. County value decoded from NT22 and constructed by summing Urban Total (record 01), Rural Nonfarm Total (05), and Rural Farm Total (09). NT22 reconciles exactly to 95,393 foreign-born persons and 352,196 foreign-stock persons. Asia is a complete sum of the four Asian-origin categories published in NT22: 2,540 + 637 + 571 + 1,272 = 5,020."
1970,Bergen County,New Jersey,Country of origin and nativity,Asia (1970 published categories),foreign_born_country_of_birth_southwest_asia,Southwest Asia,2540,,persons,reported,,Foreign-born persons,1970 Census of Population: Fourth Count Population Summary Tape,Tabulation 22: Country of Origin and Nativity (15%),22,Country of Origin and Nativity (15%),Fourth Count Population,NT22,NT22_FB_SOUTHWEST_ASIA,Foreign born!!Southwest Asia,https://catalog.archives.gov/id/594239,4th Count (Pop.) - 22,CEN70.CT4CP.NJ.TXT,Foreign born!!Southwest Asia,Southwest Asia among foreign-born persons,country_of_birth,no,fixed_width_fourth_count_decode,decoded_and_reconciled,BC-1970-032,country or region of origin among foreign-born persons,historical_region_definition_requires_review,no,,,,No exact later counterpart is assigned because this is a historical regional or residual category.,generated_from_verified_1970_fourth_count,"1970 Fourth Count 15% sample tabulation. County value decoded from NT22 and constructed by summing Urban Total (record 01), Rural Nonfarm Total (05), and Rural Farm Total (09). NT22 reconciles exactly to 95,393 foreign-born persons and 352,196 foreign-stock persons. “Southwest Asia” is the historical Census label and should not automatically be treated as identical to later Western Asia."
1970,Bergen County,New Jersey,Country of origin and nativity,Asia (1970 published categories),foreign_born_country_of_birth_china,China,637,,persons,reported,,Foreign-born persons,1970 Census of Population: Fourth Count Population Summary Tape,Tabulation 22: Country of Origin and Nativity (15%),22,Country of Origin and Nativity (15%),Fourth Count Population,NT22,NT22_FB_CHINA,Foreign born!!China,https://catalog.archives.gov/id/594239,4th Count (Pop.) - 22,CEN70.CT4CP.NJ.TXT,Foreign born!!China,China among foreign-born persons,country_of_birth,partial,fixed_width_fourth_count_decode,decoded_and_reconciled,BC-1970-033,country or region of origin among foreign-born persons,direct_country_label_with_boundary_caution,yes,1980,Country of birth,China,"The 1970 NT22 foreign-born origin category provides the closest available counterpart, subject to historical category-definition review.",generated_from_verified_1970_fourth_count,"1970 Fourth Count 15% sample tabulation. County value decoded from NT22 and constructed by summing Urban Total (record 01), Rural Nonfarm Total (05), and Rural Farm Total (09). NT22 reconciles exactly to 95,393 foreign-born persons and 352,196 foreign-stock persons. Historical China geographic treatment may differ from later tables that separately identify Hong Kong and Taiwan."
1970,Bergen County,New Jersey,Country of origin and nativity,Asia (1970 published categories),foreign_born_country_of_birth_japan,Japan,571,,persons,reported,,Foreign-born persons,1970 Census of Population: Fourth Count Population Summary Tape,Tabulation 22: Country of Origin and Nativity (15%),22,Country of Origin and Nativity (15%),Fourth Count Population,NT22,NT22_FB_JAPAN,Foreign born!!Japan,https://catalog.archives.gov/id/594239,4th Count (Pop.) - 22,CEN70.CT4CP.NJ.TXT,Foreign born!!Japan,Japan among foreign-born persons,country_of_birth,partial,fixed_width_fourth_count_decode,decoded_and_reconciled,BC-1970-034,country or region of origin among foreign-born persons,direct_country_match,yes,1980,Country of birth,Japan,"The 1970 NT22 foreign-born origin category provides the closest available counterpart, subject to historical category-definition review.",generated_from_verified_1970_fourth_count,"1970 Fourth Count 15% sample tabulation. County value decoded from NT22 and constructed by summing Urban Total (record 01), Rural Nonfarm Total (05), and Rural Farm Total (09). NT22 reconciles exactly to 95,393 foreign-born persons and 352,196 foreign-stock persons."
1970,Bergen County,New Jersey,Country of origin and nativity,Asia (1970 published categories),foreign_born_country_of_birth_other_asia,Other Asia,1272,,persons,reported,,Foreign-born persons,1970 Census of Population: Fourth Count Population Summary Tape,Tabulation 22: Country of Origin and Nativity (15%),22,Country of Origin and Nativity (15%),Fourth Count Population,NT22,NT22_FB_OTHER_ASIA,Foreign born!!Other Asia,https://catalog.archives.gov/id/594239,4th Count (Pop.) - 22,CEN70.CT4CP.NJ.TXT,Foreign born!!Other Asia,Other Asia among foreign-born persons,country_of_birth,no,fixed_width_fourth_count_decode,decoded_and_reconciled,BC-1970-035,country or region of origin among foreign-born persons,residual_category_not_directly_comparable,no,,,,No exact later counterpart is assigned because this is a historical regional or residual category.,generated_from_verified_1970_fourth_count,"1970 Fourth Count 15% sample tabulation. County value decoded from NT22 and constructed by summing Urban Total (record 01), Rural Nonfarm Total (05), and Rural Farm Total (09). NT22 reconciles exactly to 95,393 foreign-born persons and 352,196 foreign-stock persons. Residual “Other Asia” cannot be split into individual countries from NT22."
1970,Bergen County,New Jersey,Country of origin and nativity,Latin America,foreign_born_country_of_birth_mexico,Mexico,199,,persons,reported,,Foreign-born persons,1970 Census of Population: Fourth Count Population Summary Tape,Tabulation 22: Country of Origin and Nativity (15%),22,Country of Origin and Nativity (15%),Fourth Count 4C Population,NT22,NT22_FB_MEXICO,Foreign born!!Mexico,https://catalog.archives.gov/id/594239,4th Count (Pop.) - 22,CEN70.CT4CP.NJ.TXT,Foreign born!!Mexico,Mexico among foreign-born persons,country_of_birth,yes,fixed_width_fourth_count_decode,decoded_and_reconciled,BC-1970-038,country or region of origin among foreign-born persons,direct_country_match,yes,1980,Country of birth,Mexico,Both observations directly report Mexico among foreign-born persons; the 1970 value comes from the 15% sample Fourth Count tabulation.,generated_from_verified_1970_fourth_count,"1970 Fourth Count 15% sample tabulation. County value decoded from the direct NT22 Mexico field and constructed by summing Urban Total (199), Rural Nonfarm Total (0), and Rural Farm Total (0). NT22 reconciles exactly to 95,393 foreign-born persons and 352,196 foreign-stock persons."
1970,Bergen County,New Jersey,Country of origin and nativity,Latin America,foreign_born_country_of_birth_cuba,Cuba,2145,,persons,reported,,Foreign-born persons,1970 Census of Population: Fourth Count Population Summary Tape,Tabulation 22: Country of Origin and Nativity (15%),22,Country of Origin and Nativity (15%),Fourth Count 4C Population,NT22,NT22_FB_CUBA,Foreign born!!Cuba,https://catalog.archives.gov/id/594239,4th Count (Pop.) - 22,CEN70.CT4CP.NJ.TXT,Foreign born!!Cuba,Cuba among foreign-born persons,country_of_birth,yes,fixed_width_fourth_count_decode,decoded_and_reconciled,BC-1970-039,country or region of origin among foreign-born persons,direct_country_match,yes,1980,Country of birth,Cuba,Both observations directly report Cuba among foreign-born persons; the 1970 value comes from the 15% sample Fourth Count tabulation.,generated_from_verified_1970_fourth_count,"1970 Fourth Count 15% sample tabulation. County value decoded from the direct NT22 Cuba field and constructed by summing Urban Total (2,145), Rural Nonfarm Total (0), and Rural Farm Total (0). NT22 reconciles exactly to 95,393 foreign-born persons and 352,196 foreign-stock persons."
1980,Bergen County,New Jersey,Country of birth,,foreign_born_country_of_birth_all_other_countries,All other countries,291.0,,persons,,,Foreign born persons,1980 Census of Population,Table 172: Nativity and Language for Counties: 1980,,,,,,,,32-724,1980a_njc-09table172.pdf,Bergen,,country_of_birth,no,,,BC-1980-031,country or region of birth among foreign-born persons,not_comparable_to_1970_foreign_stock,no,,,,1980 measures country or region of birth among foreign-born persons; the available 1970 origin rows measure foreign stock and are not the same series.,provisional_definition_review_needed,
1980,Bergen County,New Jersey,Country of birth,,foreign_born_country_of_birth_asia,Asia,20688.0,,persons,,,Foreign born persons,1980 Census of Population,Table 172: Nativity and Language for Counties: 1980,,,,,,,,32-724,1980a_njc-09table172.pdf,Bergen,,country_of_birth,no,,,BC-1980-032,country or region of birth among foreign-born persons,not_comparable_to_1970_foreign_stock,no,,,,1980 measures country or region of birth among foreign-born persons; the available 1970 origin rows measure foreign stock and are not the same series.,provisional_definition_review_needed,
1980,Bergen County,New Jersey,Country of birth,,foreign_born_country_of_birth_austria,Austria,1858.0,,persons,,,Foreign born persons,1980 Census of Population,Table 172: Nativity and Language for Counties: 1980,,,,,,,,32-724,1980a_njc-09table172.pdf,Bergen,,country_of_birth,no,,,BC-1980-033,country or region of birth among foreign-born persons,not_comparable_to_1970_foreign_stock,no,1970,,Austria,1980 measures country or region of birth among foreign-born persons; the available 1970 origin rows measure foreign stock and are not the same series.,provisional_definition_review_needed,
