source_id,bibliography_inclusion,source_type,responsible_organization,publication_or_dataset,years_or_periods_used,tables_or_resources,local_source_files,official_url,accessed_date,source_roles,csv_file_count,csv_files_using_source,row_reference_count,draft_bibliography_entry,notes
S011,No—describe in methodology and cite underlying Census sources,Project analytical CSV,Bergen County Immigration Research Project,bergen_county_2000_immigration_tables.csv,2000,"PCT19: Place of Birth for the Foreign-Born Population; PCT20: Place of Birth by Year of Entry by Citizenship Status for the Foreign-Born Population; Table 1: Place of Birth, Residence in 1995, and Language: 2000",bergen_county_2000_immigration_tables.csv,,,data source,1,variable_crosswalk.csv,241,Bergen County Immigration Research Project. “bergen_county_2000_immigration_tables.csv.” Project-derived calculation or intermediate file (bergen_county_2000_immigration_tables.csv).,Internal intermediate file; use the underlying Census publication or dataset in the formal bibliography.
S012,No—describe in methodology and cite underlying Census sources,Project-derived analytical source,Bergen County Immigration Research Project,Census 2000 Summary File 3 (SF 3),2000,,,,,foreign-born population source; total population source,1,bergen_county_2000_immigration_tables.csv,460,Bergen County Immigration Research Project. “Census 2000 Summary File 3 (SF 3).” Project-derived calculation or intermediate file.,"This is a calculation or reconstructed subtotal, not an independently published source."
S013,No—describe in methodology and cite underlying Census sources,Project-derived analytical source,Bergen County Immigration Research Project,"Census 2000, Summary Social, Economic, and Housing Characteristics: New Jersey (PHC-2-32)",2000,,,,,foreign-born population source; total population source,1,bergen_county_2000_immigration_tables.csv,22,"Bergen County Immigration Research Project. “Census 2000, Summary Social, Economic, and Housing Characteristics: New Jersey (PHC-2-32).” Project-derived calculation or intermediate file.","This is a calculation or reconstructed subtotal, not an independently published source."
S014,Yes,Census API table metadata/data endpoint,U.S. Census Bureau,2006–2010 American Community Survey 5-Year Estimates,2006-2010; 2010,B05006; B05006: Place of Birth for the Foreign-Born Population in the United States; B05006: PLACE OF BIRTH FOR THE FOREIGN-BORN POPULATION IN THE UNITED STATES; PLACE OF BIRTH FOR THE FOREIGN-BORN POPULATION IN THE UNITED STATES,bergen_county_2010_acs_B05006_B05007.csv,https://api.census.gov/data/2010/acs/acs5/groups/B05006.html,2026-08-14,data source; foreign-born population source,20,Africa/continent_bergen_county_african_foreign_born_total_1970_2020.csv; Africa/countries_bergen_county_african_foreign_born_1990_2020.csv; Africa/countries_bergen_county_top_5_african_origins_2010_2020.csv; Africa/subregions_bergen_county_african_foreign_born_2000_2020.csv; Asia/continent_bergen_county_asian_foreign_born_total_1970_2020.csv; Asia/countries_bergen_county_asian_foreign_born_1970_2020.csv; Asia/countries_bergen_county_top_5_asian_origins_by_period_1980_2020.csv; Asia/subregion_bergen_county_asian_totals_1990_2020.csv; bergen_county_2010_acs_B05006_B05007.csv; bergen_county_master_provenance.csv; Bergen_County_Wide_Trends/bergen_county_total_population_vs_foreign_born_1970_2020.csv; Bergen_County_Wide_Trends/continent_share_of_bergen_county_foreign_born_population_1970_2020.csv; Europe_CSVs/continent_bergen_county_european_foreign_born_total_1970_2020.csv; Europe_CSVs/countries_bergen_county_european_foreign_born_1970_2020.csv; Europe_CSVs/countries_bergen_county_top_5_european_origins_by_period_1970_2020.csv; Europe_CSVs/subregion_bergen_county_european_totals_2000_2020.csv; Latin_America/continent_bergen_county_latin_american_foreign_born_total_1970_2020.csv; Latin_America/countries_bergen_county_latin_american_foreign_born_1980_2020.csv; Latin_America/countries_bergen_county_top_5_latin_american_origins_1990_2020.csv; Latin_America/subregion_bergen_county_latin_american_foreign_born_1980_2020.csv,497,"U.S. Census Bureau. “2006–2010 American Community Survey 5-Year Estimates.” B05006; B05006: Place of Birth for the Foreign-Born Population in the United States; B05006: PLACE OF BIRTH FOR THE FOREIGN-BORN POPULATION IN THE UNITED STATES; PLACE OF BIRTH FOR THE FOREIGN-BORN POPULATION IN THE UNITED STATES. Census Data API. https://api.census.gov/data/2010/acs/acs5/groups/B05006.html. Accessed August 14, 2026.",Draft entry should be adjusted to the citation style required by the paper.
S015,Yes,Census API table metadata/data endpoint,U.S. Census Bureau,2006–2010 American Community Survey 5-Year Estimates,2006-2010; 2010,B05007; B05007: PLACE OF BIRTH BY YEAR OF ENTRY BY CITIZENSHIP STATUS FOR THE FOREIGN-BORN POPULATION; PLACE OF BIRTH BY YEAR OF ENTRY BY CITIZENSHIP STATUS FOR THE FOREIGN-BORN POPULATION,bergen_county_2010_acs_B05006_B05007.csv,https://api.census.gov/data/2010/acs/acs5/groups/B05007.html,2026-08-14,data source,2,bergen_county_2010_acs_B05006_B05007.csv; bergen_county_master_provenance.csv,188,"U.S. Census Bureau. “2006–2010 American Community Survey 5-Year Estimates.” B05007; B05007: PLACE OF BIRTH BY YEAR OF ENTRY BY CITIZENSHIP STATUS FOR THE FOREIGN-BORN POPULATION; PLACE OF BIRTH BY YEAR OF ENTRY BY CITIZENSHIP STATUS FOR THE FOREIGN-BORN POPULATION. Census Data API. https://api.census.gov/data/2010/acs/acs5/groups/B05007.html. Accessed August 14, 2026.",Draft entry should be adjusted to the citation style required by the paper.
S016,Yes,Census classification reference,U.S. Census Bureau,2010 American Community Survey Code Lists,2006-2010,source-published Census subregion,,https://www2.census.gov/programs-surveys/acs/tech_docs/code_lists/2010_ACS_Code_Lists.pdf,2026-08-14,classification reference,1,Europe_CSVs/subregion_bergen_county_european_totals_2000_2020.csv,4,"U.S. Census Bureau. “2010 American Community Survey Code Lists.” source-published Census subregion. https://www2.census.gov/programs-surveys/acs/tech_docs/code_lists/2010_ACS_Code_Lists.pdf. Accessed August 14, 2026.",Used to define or retrospectively classify continent/subregion groupings.
S017,Yes,Census Data API query,U.S. Census Bureau,2006–2010 American Community Survey 5-Year Estimates,2006-2010,B05001: CITIZENSHIP STATUS IN THE UNITED STATES,,https://api.census.gov/data/2010/acs/acs5?get=NAME%2CB05001_001E%2CB05001_001M&for=county%3A003&in=state%3A34,2026-08-14,total population source,1,Bergen_County_Wide_Trends/bergen_county_total_population_vs_foreign_born_1970_2020.csv,1,"U.S. Census Bureau. “2006–2010 American Community Survey 5-Year Estimates.” B05001: CITIZENSHIP STATUS IN THE UNITED STATES. Census Data API. https://api.census.gov/data/2010/acs/acs5?get=NAME%2CB05001_001E%2CB05001_001M&for=county%3A003&in=state%3A34. Accessed August 14, 2026.",Draft entry should be adjusted to the citation style required by the paper.
S018,No—describe in methodology and cite underlying Census sources,Project analytical CSV,Bergen County Immigration Research Project,bergen_county_2010_acs_B05006_B05007.csv,2010,B05006: PLACE OF BIRTH FOR THE FOREIGN-BORN POPULATION IN THE UNITED STATES; B05007: PLACE OF BIRTH BY YEAR OF ENTRY BY CITIZENSHIP STATUS FOR THE FOREIGN-BORN POPULATION,bergen_county_2010_acs_B05006_B05007.csv,,,data source,1,variable_crosswalk.csv,255,Bergen County Immigration Research Project. “bergen_county_2010_acs_B05006_B05007.csv.” Project-derived calculation or intermediate file (bergen_county_2010_acs_B05006_B05007.csv).,Internal intermediate file; use the underlying Census publication or dataset in the formal bibliography.
S019,Yes,Census API table metadata/data endpoint,U.S. Census Bureau,2016–2020 American Community Survey 5-Year Estimates,2016-2020; 2020,B05001; B05001: NATIVITY AND CITIZENSHIP STATUS IN THE UNITED STATES; NATIVITY AND CITIZENSHIP STATUS IN THE UNITED STATES,bergen_county_2020_acs_immigration_cleaned.csv,https://api.census.gov/data/2020/acs/acs5/groups/B05001.html,2026-08-14,data source,4,bergen_county_2020_acs_immigration_cleaned.csv; bergen_county_2020_acs_immigration.csv; bergen_county_2020_foreign_born_master_matches.csv; bergen_county_master_provenance.csv,20,"U.S. Census Bureau. “2016–2020 American Community Survey 5-Year Estimates.” B05001; B05001: NATIVITY AND CITIZENSHIP STATUS IN THE UNITED STATES; NATIVITY AND CITIZENSHIP STATUS IN THE UNITED STATES. Census Data API. https://api.census.gov/data/2020/acs/acs5/groups/B05001.html. Accessed August 14, 2026.",Draft entry should be adjusted to the citation style required by the paper.
S020,Yes,Census API table metadata/data endpoint,U.S. Census Bureau,2016–2020 American Community Survey 5-Year Estimates,2016-2020,B05005; PERIOD OF ENTRY BY NATIVITY AND CITIZENSHIP STATUS IN THE UNITED STATES,,https://api.census.gov/data/2020/acs/acs5/groups/B05005.html,2026-08-14,data source,2,bergen_county_2020_acs_immigration_cleaned.csv; bergen_county_2020_acs_immigration.csv,42,"U.S. Census Bureau. “2016–2020 American Community Survey 5-Year Estimates.” B05005; PERIOD OF ENTRY BY NATIVITY AND CITIZENSHIP STATUS IN THE UNITED STATES. Census Data API. https://api.census.gov/data/2020/acs/acs5/groups/B05005.html. Accessed August 14, 2026.",Draft entry should be adjusted to the citation style required by the paper.
S021,Yes,Census API table metadata/data endpoint,U.S. Census Bureau,2016–2020 American Community Survey 5-Year Estimates,2016-2020; 2020,B05006; B05006: Place of Birth for the Foreign-Born Population in the United States; B05006: PLACE OF BIRTH FOR THE FOREIGN-BORN POPULATION IN THE UNITED STATES; PLACE OF BIRTH FOR THE FOREIGN-BORN POPULATION IN THE UNITED STATES,bergen_county_2020_acs_immigration_cleaned.csv,https://api.census.gov/data/2020/acs/acs5/groups/B05006.html,2026-08-14,data source,21,Africa/continent_bergen_county_african_foreign_born_total_1970_2020.csv; Africa/countries_bergen_county_african_foreign_born_1990_2020.csv; Africa/countries_bergen_county_top_5_african_origins_2010_2020.csv; Africa/subregions_bergen_county_african_foreign_born_2000_2020.csv; Asia/continent_bergen_county_asian_foreign_born_total_1970_2020.csv; Asia/countries_bergen_county_asian_foreign_born_1970_2020.csv; Asia/countries_bergen_county_top_5_asian_origins_by_period_1980_2020.csv; Asia/subregion_bergen_county_asian_totals_1990_2020.csv; bergen_county_2020_acs_immigration_cleaned.csv; bergen_county_2020_acs_immigration.csv; bergen_county_2020_foreign_born_master_matches.csv; bergen_county_master_provenance.csv; Bergen_County_Wide_Trends/continent_share_of_bergen_county_foreign_born_population_1970_2020.csv; Europe_CSVs/continent_bergen_county_european_foreign_born_total_1970_2020.csv; Europe_CSVs/countries_bergen_county_european_foreign_born_1970_2020.csv; Europe_CSVs/countries_bergen_county_top_5_european_origins_by_period_1970_2020.csv; Europe_CSVs/subregion_bergen_county_european_totals_2000_2020.csv; Latin_America/continent_bergen_county_latin_american_foreign_born_total_1970_2020.csv; Latin_America/countries_bergen_county_latin_american_foreign_born_1980_2020.csv; Latin_America/countries_bergen_county_top_5_latin_american_origins_1990_2020.csv; Latin_America/subregion_bergen_county_latin_american_foreign_born_1980_2020.csv,841,"U.S. Census Bureau. “2016–2020 American Community Survey 5-Year Estimates.” B05006; B05006: Place of Birth for the Foreign-Born Population in the United States; B05006: PLACE OF BIRTH FOR THE FOREIGN-BORN POPULATION IN THE UNITED STATES; PLACE OF BIRTH FOR THE FOREIGN-BORN POPULATION IN THE UNITED STATES. Census Data API. https://api.census.gov/data/2020/acs/acs5/groups/B05006.html. Accessed August 14, 2026.",Draft entry should be adjusted to the citation style required by the paper.
S022,Yes,Census API table metadata/data endpoint,U.S. Census Bureau,2016–2020 American Community Survey 5-Year Estimates,2016-2020; 2020,B05007; B05007: PLACE OF BIRTH BY YEAR OF ENTRY BY CITIZENSHIP STATUS FOR THE FOREIGN-BORN POPULATION; PLACE OF BIRTH BY YEAR OF ENTRY BY CITIZENSHIP STATUS FOR THE FOREIGN-BORN POPULATION,bergen_county_2020_acs_immigration_cleaned.csv,https://api.census.gov/data/2020/acs/acs5/groups/B05007.html,2026-08-14,data source,4,bergen_county_2020_acs_immigration_cleaned.csv; bergen_county_2020_acs_immigration.csv; bergen_county_2020_foreign_born_master_matches.csv; bergen_county_master_provenance.csv,349,"U.S. Census Bureau. “2016–2020 American Community Survey 5-Year Estimates.” B05007; B05007: PLACE OF BIRTH BY YEAR OF ENTRY BY CITIZENSHIP STATUS FOR THE FOREIGN-BORN POPULATION; PLACE OF BIRTH BY YEAR OF ENTRY BY CITIZENSHIP STATUS FOR THE FOREIGN-BORN POPULATION. Census Data API. https://api.census.gov/data/2020/acs/acs5/groups/B05007.html. Accessed August 14, 2026.",Draft entry should be adjusted to the citation style required by the paper.
S023,Yes,Census API table metadata/data endpoint,U.S. Census Bureau,2016–2020 American Community Survey 5-Year Estimates,2016-2020; 2020,B05012; B05012: NATIVITY IN THE UNITED STATES; NATIVITY IN THE UNITED STATES,bergen_county_2020_acs_immigration_cleaned.csv,https://api.census.gov/data/2020/acs/acs5/groups/B05012.html,2026-08-14,data source; foreign-born population source; total population source,5,bergen_county_2020_acs_immigration_cleaned.csv; bergen_county_2020_acs_immigration.csv; bergen_county_2020_foreign_born_master_matches.csv; bergen_county_master_provenance.csv; Bergen_County_Wide_Trends/bergen_county_total_population_vs_foreign_born_1970_2020.csv,12,"U.S. Census Bureau. “2016–2020 American Community Survey 5-Year Estimates.” B05012; B05012: NATIVITY IN THE UNITED STATES; NATIVITY IN THE UNITED STATES. Census Data API. https://api.census.gov/data/2020/acs/acs5/groups/B05012.html. Accessed August 14, 2026.",Draft entry should be adjusted to the citation style required by the paper.
S024,Yes,Census API table metadata/data endpoint,U.S. Census Bureau,2016–2020 American Community Survey 5-Year Estimates,2016-2020,B06007; PLACE OF BIRTH BY LANGUAGE SPOKEN AT HOME AND ABILITY TO SPEAK ENGLISH IN THE UNITED STATES,,https://api.census.gov/data/2020/acs/acs5/groups/B06007.html,2026-08-14,data source,2,bergen_county_2020_acs_immigration_cleaned.csv; bergen_county_2020_acs_immigration.csv,80,"U.S. Census Bureau. “2016–2020 American Community Survey 5-Year Estimates.” B06007; PLACE OF BIRTH BY LANGUAGE SPOKEN AT HOME AND ABILITY TO SPEAK ENGLISH IN THE UNITED STATES. Census Data API. https://api.census.gov/data/2020/acs/acs5/groups/B06007.html. Accessed August 14, 2026.",Draft entry should be adjusted to the citation style required by the paper.
S025,Yes,Census API table metadata/data endpoint,U.S. Census Bureau,2016–2020 American Community Survey 5-Year Estimates,2016-2020,B16005; NATIVITY BY LANGUAGE SPOKEN AT HOME BY ABILITY TO SPEAK ENGLISH FOR THE POPULATION 5 YEARS AND OVER,,https://api.census.gov/data/2020/acs/acs5/groups/B16005.html,2026-08-14,data source,2,bergen_county_2020_acs_immigration_cleaned.csv; bergen_county_2020_acs_immigration.csv,90,"U.S. Census Bureau. “2016–2020 American Community Survey 5-Year Estimates.” B16005; NATIVITY BY LANGUAGE SPOKEN AT HOME BY ABILITY TO SPEAK ENGLISH FOR THE POPULATION 5 YEARS AND OVER. Census Data API. https://api.census.gov/data/2020/acs/acs5/groups/B16005.html. Accessed August 14, 2026.",Draft entry should be adjusted to the citation style required by the paper.
S026,Yes,Census API table metadata/data endpoint,U.S. Census Bureau,2016–2020 American Community Survey 5-Year Estimates,2016-2020,S0501; SELECTED CHARACTERISTICS OF THE NATIVE AND FOREIGN-BORN POPULATIONS,,https://api.census.gov/data/2020/acs/acs5/subject/groups/S0501.html,2026-08-14,data source,2,bergen_county_2020_acs_immigration_cleaned.csv; bergen_county_2020_acs_immigration.csv,1370,"U.S. Census Bureau. “2016–2020 American Community Survey 5-Year Estimates.” S0501; SELECTED CHARACTERISTICS OF THE NATIVE AND FOREIGN-BORN POPULATIONS. Census Data API. https://api.census.gov/data/2020/acs/acs5/subject/groups/S0501.html. Accessed August 14, 2026.",Draft entry should be adjusted to the citation style required by the paper.
S027,Yes,Census API table metadata/data endpoint,U.S. Census Bureau,2016–2020 American Community Survey 5-Year Estimates,2016-2020,S0502; SELECTED CHARACTERISTICS OF THE FOREIGN-BORN POPULATION BY PERIOD OF ENTRY INTO THE UNITED STATES,,https://api.census.gov/data/2020/acs/acs5/subject/groups/S0502.html,2026-08-14,data source,2,bergen_county_2020_acs_immigration_cleaned.csv; bergen_county_2020_acs_immigration.csv,1168,"U.S. Census Bureau. “2016–2020 American Community Survey 5-Year Estimates.” S0502; SELECTED CHARACTERISTICS OF THE FOREIGN-BORN POPULATION BY PERIOD OF ENTRY INTO THE UNITED STATES. Census Data API. https://api.census.gov/data/2020/acs/acs5/subject/groups/S0502.html. Accessed August 14, 2026.",Draft entry should be adjusted to the citation style required by the paper.
