year,source_period,geography,asian_group,group_type,asian_subregion,hierarchy_level,population,margin_of_error,unit,measure_scope,historical_comparability,standard_variable,parent_label,source_label,table_id,variable_id,table,crosswalk_id,publication,official_source_url,source_file,verification_status,notes
1980,1980,Bergen County,Philippines,country_or_area,,1,2525,,persons,foreign_born_population,decennial_census_foreign_born,foreign_born_country_of_birth_philippines,,Philippines,,,Table 172: Nativity and Language for Counties: 1980,BC-1980-059,1980 Census of Population,,1980a_njc-09table172.pdf,,
1980,1980,Bergen County,Vietnam,country_or_area,,1,349,,persons,foreign_born_population,decennial_census_foreign_born,foreign_born_country_of_birth_vietnam,,Vietnam,,,Table 172: Nativity and Language for Counties: 1980,BC-1980-067,1980 Census of Population,,1980a_njc-09table172.pdf,,
1980,1980,Bergen County,Other Asia (not separately reported),residual_category,,1,7546,,persons,foreign_born_population,decennial_census_foreign_born,foreign_born_country_of_birth_asia_other_not_separately_reported,Asia,Other Asia (not separately reported),,,Table 172: Nativity and Language for Counties: 1980,BC-1980-ASIA-RESIDUAL,Derived from 1980 Census of Population,https://www2.census.gov/library/publications/decennial/1980/volume-1/new-jersey/1980a_njc-09.pdf,1980a_njc-09table172.pdf,verified_derived_reconciliation,"Exact derived residual: 20,688 Asia total minus 13,142 across the separately published Asian country totals. The source does not identify the origins contained in this remainder."
1990,1990,Bergen County,Asia,region_total,,0,49337,,persons,foreign_born_population,decennial_census_foreign_born,foreign_born_region_of_birth_asia,Foreign-born persons,Asia,,,Table 139: Place of Birth of Foreign-Born Persons: 1990,BC-1990-116,"1990 Census of Population: Social and Economic Characteristics, New Jersey",,cp-2-32-1table139.pdf,,
1990,1990,Bergen County,Afghanistan,country_or_area,,1,191,,persons,foreign_born_population,decennial_census_foreign_born,foreign_born_country_of_birth_afghanistan,Asia,Afghanistan,,,Table 139: Place of Birth of Foreign-Born Persons: 1990,BC-1990-117,"1990 Census of Population: Social and Economic Characteristics, New Jersey",,cp-2-32-1table139.pdf,,
1990,1990,Bergen County,Burma,country_or_area,,1,39,,persons,foreign_born_population,decennial_census_foreign_born,foreign_born_country_of_birth_burma,Asia,Burma,,,Table 139: Place of Birth of Foreign-Born Persons: 1990,BC-1990-118,"1990 Census of Population: Social and Economic Characteristics, New Jersey",,cp-2-32-1table139.pdf,,
1990,1990,Bergen County,Cambodia,country_or_area,,1,4,,persons,foreign_born_population,decennial_census_foreign_born,foreign_born_country_of_birth_cambodia,Asia,Cambodia,,,Table 139: Place of Birth of Foreign-Born Persons: 1990,BC-1990-119,"1990 Census of Population: Social and Economic Characteristics, New Jersey",,cp-2-32-1table139.pdf,,
1990,1990,Bergen County,China,country_or_area,,1,2731,,persons,foreign_born_population,decennial_census_foreign_born,foreign_born_country_of_birth_china,Asia,China,,,Table 139: Place of Birth of Foreign-Born Persons: 1990,BC-1990-120,"1990 Census of Population: Social and Economic Characteristics, New Jersey",,cp-2-32-1table139.pdf,,
1990,1990,Bergen County,Hong Kong,country_or_area,,1,582,,persons,foreign_born_population,decennial_census_foreign_born,foreign_born_country_of_birth_hong_kong,Asia,Hong Kong,,,Table 139: Place of Birth of Foreign-Born Persons: 1990,BC-1990-121,"1990 Census of Population: Social and Economic Characteristics, New Jersey",,cp-2-32-1table139.pdf,,
1990,1990,Bergen County,India,country_or_area,,1,6346,,persons,foreign_born_population,decennial_census_foreign_born,foreign_born_country_of_birth_india,Asia,India,,,Table 139: Place of Birth of Foreign-Born Persons: 1990,BC-1990-122,"1990 Census of Population: Social and Economic Characteristics, New Jersey",,cp-2-32-1table139.pdf,,
1990,1990,Bergen County,Indonesia,country_or_area,,1,222,,persons,foreign_born_population,decennial_census_foreign_born,foreign_born_country_of_birth_indonesia,Asia,Indonesia,,,Table 139: Place of Birth of Foreign-Born Persons: 1990,BC-1990-123,"1990 Census of Population: Social and Economic Characteristics, New Jersey",,cp-2-32-1table139.pdf,,
1990,1990,Bergen County,Iran,country_or_area,,1,1414,,persons,foreign_born_population,decennial_census_foreign_born,foreign_born_country_of_birth_iran,Asia,Iran,,,Table 139: Place of Birth of Foreign-Born Persons: 1990,BC-1990-124,"1990 Census of Population: Social and Economic Characteristics, New Jersey",,cp-2-32-1table139.pdf,,
1990,1990,Bergen County,Iraq,country_or_area,,1,220,,persons,foreign_born_population,decennial_census_foreign_born,foreign_born_country_of_birth_iraq,Asia,Iraq,,,Table 139: Place of Birth of Foreign-Born Persons: 1990,BC-1990-125,"1990 Census of Population: Social and Economic Characteristics, New Jersey",,cp-2-32-1table139.pdf,,
1990,1990,Bergen County,Israel,country_or_area,,1,2190,,persons,foreign_born_population,decennial_census_foreign_born,foreign_born_country_of_birth_israel,Asia,Israel,,,Table 139: Place of Birth of Foreign-Born Persons: 1990,BC-1990-126,"1990 Census of Population: Social and Economic Characteristics, New Jersey",,cp-2-32-1table139.pdf,,
1990,1990,Bergen County,Japan,country_or_area,,1,8924,,persons,foreign_born_population,decennial_census_foreign_born,foreign_born_country_of_birth_japan,Asia,Japan,,,Table 139: Place of Birth of Foreign-Born Persons: 1990,BC-1990-127,"1990 Census of Population: Social and Economic Characteristics, New Jersey",,cp-2-32-1table139.pdf,,
1990,1990,Bergen County,Jordan,country_or_area,,1,349,,persons,foreign_born_population,decennial_census_foreign_born,foreign_born_country_of_birth_jordan,Asia,Jordan,,,Table 139: Place of Birth of Foreign-Born Persons: 1990,BC-1990-128,"1990 Census of Population: Social and Economic Characteristics, New Jersey",,cp-2-32-1table139.pdf,,
1990,1990,Bergen County,Korea,country_or_area,,1,12240,,persons,foreign_born_population,decennial_census_foreign_born,foreign_born_country_of_birth_korea,Asia,Korea,,,Table 139: Place of Birth of Foreign-Born Persons: 1990,BC-1990-129,"1990 Census of Population: Social and Economic Characteristics, New Jersey",,cp-2-32-1table139.pdf,,
1990,1990,Bergen County,Laos,country_or_area,,1,125,,persons,foreign_born_population,decennial_census_foreign_born,foreign_born_country_of_birth_laos,Asia,Laos,,,Table 139: Place of Birth of Foreign-Born Persons: 1990,BC-1990-130,"1990 Census of Population: Social and Economic Characteristics, New Jersey",,cp-2-32-1table139.pdf,,
1990,1990,Bergen County,Lebanon,country_or_area,,1,1264,,persons,foreign_born_population,decennial_census_foreign_born,foreign_born_country_of_birth_lebanon,Asia,Lebanon,,,Table 139: Place of Birth of Foreign-Born Persons: 1990,BC-1990-131,"1990 Census of Population: Social and Economic Characteristics, New Jersey",,cp-2-32-1table139.pdf,,
1990,1990,Bergen County,Malaysia,country_or_area,,1,114,,persons,foreign_born_population,decennial_census_foreign_born,foreign_born_country_of_birth_malaysia,Asia,Malaysia,,,Table 139: Place of Birth of Foreign-Born Persons: 1990,BC-1990-132,"1990 Census of Population: Social and Economic Characteristics, New Jersey",,cp-2-32-1table139.pdf,,
1990,1990,Bergen County,Pakistan,country_or_area,,1,900,,persons,foreign_born_population,decennial_census_foreign_born,foreign_born_country_of_birth_pakistan,Asia,Pakistan,,,Table 139: Place of Birth of Foreign-Born Persons: 1990,BC-1990-133,"1990 Census of Population: Social and Economic Characteristics, New Jersey",,cp-2-32-1table139.pdf,,
1990,1990,Bergen County,Philippines,country_or_area,,1,5129,,persons,foreign_born_population,decennial_census_foreign_born,foreign_born_country_of_birth_philippines,Asia,Philippines,,,Table 139: Place of Birth of Foreign-Born Persons: 1990,BC-1990-134,"1990 Census of Population: Social and Economic Characteristics, New Jersey",,cp-2-32-1table139.pdf,,
1990,1990,Bergen County,Saudi Arabia,country_or_area,,1,60,,persons,foreign_born_population,decennial_census_foreign_born,foreign_born_country_of_birth_saudi_arabia,Asia,Saudi Arabia,,,Table 139: Place of Birth of Foreign-Born Persons: 1990,BC-1990-135,"1990 Census of Population: Social and Economic Characteristics, New Jersey",,cp-2-32-1table139.pdf,,
1990,1990,Bergen County,Syria,country_or_area,,1,877,,persons,foreign_born_population,decennial_census_foreign_born,foreign_born_country_of_birth_syria,Asia,Syria,,,Table 139: Place of Birth of Foreign-Born Persons: 1990,BC-1990-136,"1990 Census of Population: Social and Economic Characteristics, New Jersey",,cp-2-32-1table139.pdf,,
1990,1990,Bergen County,Taiwan,country_or_area,,1,1835,,persons,foreign_born_population,decennial_census_foreign_born,foreign_born_country_of_birth_taiwan,Asia,Taiwan,,,Table 139: Place of Birth of Foreign-Born Persons: 1990,BC-1990-137,"1990 Census of Population: Social and Economic Characteristics, New Jersey",,cp-2-32-1table139.pdf,,
1990,1990,Bergen County,Thailand,country_or_area,,1,352,,persons,foreign_born_population,decennial_census_foreign_born,foreign_born_country_of_birth_thailand,Asia,Thailand,,,Table 139: Place of Birth of Foreign-Born Persons: 1990,BC-1990-138,"1990 Census of Population: Social and Economic Characteristics, New Jersey",,cp-2-32-1table139.pdf,,
1990,1990,Bergen County,Turkey,country_or_area,,1,2137,,persons,foreign_born_population,decennial_census_foreign_born,foreign_born_country_of_birth_turkey,Asia,Turkey,,,Table 139: Place of Birth of Foreign-Born Persons: 1990,BC-1990-139,"1990 Census of Population: Social and Economic Characteristics, New Jersey",,cp-2-32-1table139.pdf,,
1990,1990,Bergen County,Vietnam,country_or_area,,1,342,,persons,foreign_born_population,decennial_census_foreign_born,foreign_born_country_of_birth_vietnam,Asia,Vietnam,,,Table 139: Place of Birth of Foreign-Born Persons: 1990,BC-1990-140,"1990 Census of Population: Social and Economic Characteristics, New Jersey",,cp-2-32-1table139.pdf,,
1990,1990,Bergen County,Other Asia (not separately reported),residual_category,,1,750,,persons,foreign_born_population,decennial_census_foreign_born,foreign_born_country_of_birth_asia_other_not_separately_reported,Asia,Other Asia (not separately reported),,,Table 139: Place of Birth of Foreign-Born Persons: 1990,BC-1990-ASIA-RESIDUAL,"Derived from 1990 Census of Population: Social and Economic Characteristics, New Jersey",https://www2.census.gov/library/publications/decennial/1990/cp-2/cp-2-32-1.pdf,cp-2-32-1table139.pdf,verified_derived_reconciliation,"Exact derived residual: 49,337 Asia total minus 48,587 across the separately published Asian country totals. The source does not identify the origins contained in this remainder."
2000,2000,Bergen County,Asia,region_total,,0,88017,,persons,foreign_born_population,decennial_census_foreign_born,foreign_born_country_of_birth_asia,,Asia,PCT19,PCT019032,PCT19: Place of Birth for the Foreign-Born Population,BC-2000-043,Census 2000 Summary File 3 (SF 3),https://api.census.gov/data/2000/dec/sf3/groups/PCT019.html,bergen_county_2000_immigration_tables.csv,,SF3 sample data; n.e.c. = not elsewhere classified.
2000,2000,Bergen County,Eastern Asia,subregion_total,Eastern Asia,1,44578,,persons,foreign_born_population,decennial_census_foreign_born,foreign_born_country_of_birth_asia_eastern_asia,Asia,Eastern Asia,PCT19,PCT019033,PCT19: Place of Birth for the Foreign-Born Population,BC-2000-044,Census 2000 Summary File 3 (SF 3),https://api.census.gov/data/2000/dec/sf3/groups/PCT019.html,bergen_county_2000_immigration_tables.csv,,SF3 sample data; n.e.c. = not elsewhere classified.
2000,2000,Bergen County,South Central Asia,subregion_total,South Central Asia,1,16867,,persons,foreign_born_population,decennial_census_foreign_born,foreign_born_country_of_birth_asia_south_central_asia,Asia,South Central Asia,PCT19,PCT019041,PCT19: Place of Birth for the Foreign-Born Population,BC-2000-052,Census 2000 Summary File 3 (SF 3),https://api.census.gov/data/2000/dec/sf3/groups/PCT019.html,bergen_county_2000_immigration_tables.csv,,SF3 sample data; n.e.c. = not elsewhere classified.
2000,2000,Bergen County,South Eastern Asia,subregion_total,South Eastern Asia,1,14038,,persons,foreign_born_population,decennial_census_foreign_born,foreign_born_country_of_birth_asia_south_eastern_asia,Asia,South Eastern Asia,PCT19,PCT019048,PCT19: Place of Birth for the Foreign-Born Population,BC-2000-059,Census 2000 Summary File 3 (SF 3),https://api.census.gov/data/2000/dec/sf3/groups/PCT019.html,bergen_county_2000_immigration_tables.csv,,SF3 sample data; n.e.c. = not elsewhere classified.
2000,2000,Bergen County,Western Asia,subregion_total,Western Asia,1,12255,,persons,foreign_born_population,decennial_census_foreign_born,foreign_born_country_of_birth_asia_western_asia,Asia,Western Asia,PCT19,PCT019057,PCT19: Place of Birth for the Foreign-Born Population,BC-2000-068,Census 2000 Summary File 3 (SF 3),https://api.census.gov/data/2000/dec/sf3/groups/PCT019.html,bergen_county_2000_immigration_tables.csv,,SF3 sample data; n.e.c. = not elsewhere classified.
2000,2000,Bergen County,"Asia, n.e.c.",residual_category,,1,279,,persons,foreign_born_population,decennial_census_foreign_born,foreign_born_country_of_birth_asia_asia_n_e_c,Asia,"Asia, n.e.c.",PCT19,PCT019066,PCT19: Place of Birth for the Foreign-Born Population,BC-2000-077,Census 2000 Summary File 3 (SF 3),https://api.census.gov/data/2000/dec/sf3/groups/PCT019.html,bergen_county_2000_immigration_tables.csv,,SF3 sample data; n.e.c. = not elsewhere classified.
2000,2000,Bergen County,Afghanistan,country_or_area,South Central Asia,2,198,,persons,foreign_born_population,decennial_census_foreign_born,foreign_born_country_of_birth_afghanistan,Asia > South Central Asia,Afghanistan,PCT19,PCT019042,PCT19: Place of Birth for the Foreign-Born Population,BC-2000-053,Census 2000 Summary File 3 (SF 3),https://api.census.gov/data/2000/dec/sf3/groups/PCT019.html,bergen_county_2000_immigration_tables.csv,,SF3 sample data; n.e.c. = not elsewhere classified.
2000,2000,Bergen County,Armenia,country_or_area,Western Asia,2,385,,persons,foreign_born_population,decennial_census_foreign_born,foreign_born_country_of_birth_asia_western_asia_armenia,Asia > Western Asia,Armenia,PCT19,PCT019064,PCT19: Place of Birth for the Foreign-Born Population,BC-2000-075,Census 2000 Summary File 3 (SF 3),https://api.census.gov/data/2000/dec/sf3/groups/PCT019.html,bergen_county_2000_immigration_tables.csv,,SF3 sample data; n.e.c. = not elsewhere classified.
2000,2000,Bergen County,Bangladesh,country_or_area,South Central Asia,2,270,,persons,foreign_born_population,decennial_census_foreign_born,foreign_born_country_of_birth_asia_south_central_asia_bangladesh,Asia > South Central Asia,Bangladesh,PCT19,PCT019043,PCT19: Place of Birth for the Foreign-Born Population,BC-2000-054,Census 2000 Summary File 3 (SF 3),https://api.census.gov/data/2000/dec/sf3/groups/PCT019.html,bergen_county_2000_immigration_tables.csv,,SF3 sample data; n.e.c. = not elsewhere classified.
2000,2000,Bergen County,Cambodia,country_or_area,South Eastern Asia,2,18,,persons,foreign_born_population,decennial_census_foreign_born,foreign_born_country_of_birth_cambodia,Asia > South Eastern Asia,Cambodia,PCT19,PCT019049,PCT19: Place of Birth for the Foreign-Born Population,BC-2000-060,Census 2000 Summary File 3 (SF 3),https://api.census.gov/data/2000/dec/sf3/groups/PCT019.html,bergen_county_2000_immigration_tables.csv,,SF3 sample data; n.e.c. = not elsewhere classified.
2000,2000,Bergen County,China,country_or_area,Eastern Asia,2,8990,,persons,foreign_born_population,decennial_census_foreign_born,foreign_born_country_of_birth_china,Asia > Eastern Asia,China,PCT19,PCT019034,PCT19: Place of Birth for the Foreign-Born Population,BC-2000-045,Census 2000 Summary File 3 (SF 3),https://api.census.gov/data/2000/dec/sf3/groups/PCT019.html,bergen_county_2000_immigration_tables.csv,,SF3 sample data; n.e.c. = not elsewhere classified.
2000,2000,Bergen County,India,country_or_area,South Central Asia,2,12557,,persons,foreign_born_population,decennial_census_foreign_born,foreign_born_country_of_birth_india,Asia > South Central Asia,India,PCT19,PCT019044,PCT19: Place of Birth for the Foreign-Born Population,BC-2000-055,Census 2000 Summary File 3 (SF 3),https://api.census.gov/data/2000/dec/sf3/groups/PCT019.html,bergen_county_2000_immigration_tables.csv,,SF3 sample data; n.e.c. = not elsewhere classified.
2000,2000,Bergen County,Indonesia,country_or_area,South Eastern Asia,2,237,,persons,foreign_born_population,decennial_census_foreign_born,foreign_born_country_of_birth_indonesia,Asia > South Eastern Asia,Indonesia,PCT19,PCT019050,PCT19: Place of Birth for the Foreign-Born Population,BC-2000-061,Census 2000 Summary File 3 (SF 3),https://api.census.gov/data/2000/dec/sf3/groups/PCT019.html,bergen_county_2000_immigration_tables.csv,,SF3 sample data; n.e.c. = not elsewhere classified.
2000,2000,Bergen County,Iran,country_or_area,South Central Asia,2,1621,,persons,foreign_born_population,decennial_census_foreign_born,foreign_born_country_of_birth_iran,Asia > South Central Asia,Iran,PCT19,PCT019045,PCT19: Place of Birth for the Foreign-Born Population,BC-2000-056,Census 2000 Summary File 3 (SF 3),https://api.census.gov/data/2000/dec/sf3/groups/PCT019.html,bergen_county_2000_immigration_tables.csv,,SF3 sample data; n.e.c. = not elsewhere classified.
2000,2000,Bergen County,Iraq,country_or_area,Western Asia,2,302,,persons,foreign_born_population,decennial_census_foreign_born,foreign_born_country_of_birth_iraq,Asia > Western Asia,Iraq,PCT19,PCT019058,PCT19: Place of Birth for the Foreign-Born Population,BC-2000-069,Census 2000 Summary File 3 (SF 3),https://api.census.gov/data/2000/dec/sf3/groups/PCT019.html,bergen_county_2000_immigration_tables.csv,,SF3 sample data; n.e.c. = not elsewhere classified.
2000,2000,Bergen County,Israel,country_or_area,Western Asia,2,3070,,persons,foreign_born_population,decennial_census_foreign_born,foreign_born_country_of_birth_israel,Asia > Western Asia,Israel,PCT19,PCT019059,PCT19: Place of Birth for the Foreign-Born Population,BC-2000-070,Census 2000 Summary File 3 (SF 3),https://api.census.gov/data/2000/dec/sf3/groups/PCT019.html,bergen_county_2000_immigration_tables.csv,,SF3 sample data; n.e.c. = not elsewhere classified.
2000,2000,Bergen County,Japan,country_or_area,Eastern Asia,2,6076,,persons,foreign_born_population,decennial_census_foreign_born,foreign_born_country_of_birth_japan,Asia > Eastern Asia,Japan,PCT19,PCT019038,PCT19: Place of Birth for the Foreign-Born Population,BC-2000-049,Census 2000 Summary File 3 (SF 3),https://api.census.gov/data/2000/dec/sf3/groups/PCT019.html,bergen_county_2000_immigration_tables.csv,,SF3 sample data; n.e.c. = not elsewhere classified.
2000,2000,Bergen County,Jordan,country_or_area,Western Asia,2,758,,persons,foreign_born_population,decennial_census_foreign_born,foreign_born_country_of_birth_jordan,Asia > Western Asia,Jordan,PCT19,PCT019060,PCT19: Place of Birth for the Foreign-Born Population,BC-2000-071,Census 2000 Summary File 3 (SF 3),https://api.census.gov/data/2000/dec/sf3/groups/PCT019.html,bergen_county_2000_immigration_tables.csv,,SF3 sample data; n.e.c. = not elsewhere classified.
2000,2000,Bergen County,Korea,country_or_area,Eastern Asia,2,29506,,persons,foreign_born_population,decennial_census_foreign_born,foreign_born_country_of_birth_korea,Asia > Eastern Asia,Korea,PCT19,PCT019039,PCT19: Place of Birth for the Foreign-Born Population,BC-2000-050,Census 2000 Summary File 3 (SF 3),https://api.census.gov/data/2000/dec/sf3/groups/PCT019.html,bergen_county_2000_immigration_tables.csv,,SF3 sample data; n.e.c. = not elsewhere classified.
2000,2000,Bergen County,Laos,country_or_area,South Eastern Asia,2,104,,persons,foreign_born_population,decennial_census_foreign_born,foreign_born_country_of_birth_laos,Asia > South Eastern Asia,Laos,PCT19,PCT019051,PCT19: Place of Birth for the Foreign-Born Population,BC-2000-062,Census 2000 Summary File 3 (SF 3),https://api.census.gov/data/2000/dec/sf3/groups/PCT019.html,bergen_county_2000_immigration_tables.csv,,SF3 sample data; n.e.c. = not elsewhere classified.
2000,2000,Bergen County,Lebanon,country_or_area,Western Asia,2,1758,,persons,foreign_born_population,decennial_census_foreign_born,foreign_born_country_of_birth_lebanon,Asia > Western Asia,Lebanon,PCT19,PCT019061,PCT19: Place of Birth for the Foreign-Born Population,BC-2000-072,Census 2000 Summary File 3 (SF 3),https://api.census.gov/data/2000/dec/sf3/groups/PCT019.html,bergen_county_2000_immigration_tables.csv,,SF3 sample data; n.e.c. = not elsewhere classified.
2000,2000,Bergen County,Malaysia,country_or_area,South Eastern Asia,2,393,,persons,foreign_born_population,decennial_census_foreign_born,foreign_born_country_of_birth_malaysia,Asia > South Eastern Asia,Malaysia,PCT19,PCT019052,PCT19: Place of Birth for the Foreign-Born Population,BC-2000-063,Census 2000 Summary File 3 (SF 3),https://api.census.gov/data/2000/dec/sf3/groups/PCT019.html,bergen_county_2000_immigration_tables.csv,,SF3 sample data; n.e.c. = not elsewhere classified.
2000,2000,Bergen County,Pakistan,country_or_area,South Central Asia,2,1855,,persons,foreign_born_population,decennial_census_foreign_born,foreign_born_country_of_birth_pakistan,Asia > South Central Asia,Pakistan,PCT19,PCT019046,PCT19: Place of Birth for the Foreign-Born Population,BC-2000-057,Census 2000 Summary File 3 (SF 3),https://api.census.gov/data/2000/dec/sf3/groups/PCT019.html,bergen_county_2000_immigration_tables.csv,,SF3 sample data; n.e.c. = not elsewhere classified.
2000,2000,Bergen County,Philippines,country_or_area,South Eastern Asia,2,11978,,persons,foreign_born_population,decennial_census_foreign_born,foreign_born_country_of_birth_philippines,Asia > South Eastern Asia,Philippines,PCT19,PCT019053,PCT19: Place of Birth for the Foreign-Born Population,BC-2000-064,Census 2000 Summary File 3 (SF 3),https://api.census.gov/data/2000/dec/sf3/groups/PCT019.html,bergen_county_2000_immigration_tables.csv,,SF3 sample data; n.e.c. = not elsewhere classified.
2000,2000,Bergen County,Syria,country_or_area,Western Asia,2,1644,,persons,foreign_born_population,decennial_census_foreign_born,foreign_born_country_of_birth_syria,Asia > Western Asia,Syria,PCT19,PCT019062,PCT19: Place of Birth for the Foreign-Born Population,BC-2000-073,Census 2000 Summary File 3 (SF 3),https://api.census.gov/data/2000/dec/sf3/groups/PCT019.html,bergen_county_2000_immigration_tables.csv,,SF3 sample data; n.e.c. = not elsewhere classified.
2000,2000,Bergen County,Thailand,country_or_area,South Eastern Asia,2,446,,persons,foreign_born_population,decennial_census_foreign_born,foreign_born_country_of_birth_thailand,Asia > South Eastern Asia,Thailand,PCT19,PCT019054,PCT19: Place of Birth for the Foreign-Born Population,BC-2000-065,Census 2000 Summary File 3 (SF 3),https://api.census.gov/data/2000/dec/sf3/groups/PCT019.html,bergen_county_2000_immigration_tables.csv,,SF3 sample data; n.e.c. = not elsewhere classified.
2000,2000,Bergen County,Turkey,country_or_area,Western Asia,2,3333,,persons,foreign_born_population,decennial_census_foreign_born,foreign_born_country_of_birth_turkey,Asia > Western Asia,Turkey,PCT19,PCT019063,PCT19: Place of Birth for the Foreign-Born Population,BC-2000-074,Census 2000 Summary File 3 (SF 3),https://api.census.gov/data/2000/dec/sf3/groups/PCT019.html,bergen_county_2000_immigration_tables.csv,,SF3 sample data; n.e.c. = not elsewhere classified.
2000,2000,Bergen County,Vietnam,country_or_area,South Eastern Asia,2,557,,persons,foreign_born_population,decennial_census_foreign_born,foreign_born_country_of_birth_vietnam,Asia > South Eastern Asia,Vietnam,PCT19,PCT019055,PCT19: Place of Birth for the Foreign-Born Population,BC-2000-066,Census 2000 Summary File 3 (SF 3),https://api.census.gov/data/2000/dec/sf3/groups/PCT019.html,bergen_county_2000_immigration_tables.csv,,SF3 sample data; n.e.c. = not elsewhere classified.
