year,source_period,rank,country_or_area,population,margin_of_error,unit,measure_scope,coverage_status,notes,publication,source_file,official_source_url,crosswalk_id
2000,2000,1,Korea,29506,,persons,foreign_born_population,published_country_coverage,"Census 2000 SF3 sample data. Ranking uses country or area totals and excludes subregions, residual categories, and nested components.",Census 2000 Summary File 3 (SF 3),bergen_county_2000_immigration_tables.csv,https://api.census.gov/data/2000/dec/sf3/groups/PCT019.html,BC-2000-050
2000,2000,2,India,12557,,persons,foreign_born_population,published_country_coverage,"Census 2000 SF3 sample data. Ranking uses country or area totals and excludes subregions, residual categories, and nested components.",Census 2000 Summary File 3 (SF 3),bergen_county_2000_immigration_tables.csv,https://api.census.gov/data/2000/dec/sf3/groups/PCT019.html,BC-2000-055
2000,2000,3,Philippines,11978,,persons,foreign_born_population,published_country_coverage,"Census 2000 SF3 sample data. Ranking uses country or area totals and excludes subregions, residual categories, and nested components.",Census 2000 Summary File 3 (SF 3),bergen_county_2000_immigration_tables.csv,https://api.census.gov/data/2000/dec/sf3/groups/PCT019.html,BC-2000-064
2000,2000,4,China,8990,,persons,foreign_born_population,published_country_coverage,"Census 2000 SF3 sample data. Ranking uses country or area totals and excludes subregions, residual categories, and nested components.",Census 2000 Summary File 3 (SF 3),bergen_county_2000_immigration_tables.csv,https://api.census.gov/data/2000/dec/sf3/groups/PCT019.html,BC-2000-045
2000,2000,5,Japan,6076,,persons,foreign_born_population,published_country_coverage,"Census 2000 SF3 sample data. Ranking uses country or area totals and excludes subregions, residual categories, and nested components.",Census 2000 Summary File 3 (SF 3),bergen_county_2000_immigration_tables.csv,https://api.census.gov/data/2000/dec/sf3/groups/PCT019.html,BC-2000-049
2010,2006-2010,1,Korea,40761,1844,persons,foreign_born_population,acs_estimate,ACS five-year estimates; ranks are based on point estimates and close positions should not be treated as statistically conclusive without considering margins of error.,2006-2010 ACS 5-Year Detailed Tables,bergen_county_2010_acs_B05006_B05007.csv,https://api.census.gov/data/2010/acs/acs5/groups/B05006.html,BC-2010-054
2010,2006-2010,2,India,17890,1396,persons,foreign_born_population,acs_estimate,ACS five-year estimates; ranks are based on point estimates and close positions should not be treated as statistically conclusive without considering margins of error.,2006-2010 ACS 5-Year Detailed Tables,bergen_county_2010_acs_B05006_B05007.csv,https://api.census.gov/data/2010/acs/acs5/groups/B05006.html,BC-2010-059
2010,2006-2010,3,Philippines,14720,1219,persons,foreign_born_population,acs_estimate,ACS five-year estimates; ranks are based on point estimates and close positions should not be treated as statistically conclusive without considering margins of error.,2006-2010 ACS 5-Year Detailed Tables,bergen_county_2010_acs_B05006_B05007.csv,https://api.census.gov/data/2010/acs/acs5/groups/B05006.html,BC-2010-073
2010,2006-2010,4,China,10378,959,persons,foreign_born_population,acs_estimate,ACS five-year estimates; ranks are based on point estimates and close positions should not be treated as statistically conclusive without considering margins of error.,2006-2010 ACS 5-Year Detailed Tables,bergen_county_2010_acs_B05006_B05007.csv,https://api.census.gov/data/2010/acs/acs5/groups/B05006.html,BC-2010-049
2010,2006-2010,5,Japan,5632,790,persons,foreign_born_population,acs_estimate,ACS five-year estimates; ranks are based on point estimates and close positions should not be treated as statistically conclusive without considering margins of error.,2006-2010 ACS 5-Year Detailed Tables,bergen_county_2010_acs_B05006_B05007.csv,https://api.census.gov/data/2010/acs/acs5/groups/B05006.html,BC-2010-053
2020,2016-2020,1,Korea,42533,1968,persons,foreign_born_population,acs_estimate,ACS five-year estimates; ranks are based on point estimates and close positions should not be treated as statistically conclusive without considering margins of error.,2016-2020 ACS 5-Year Estimates,bergen_county_2020_acs_immigration_cleaned.csv,https://api.census.gov/data/2020/acs/acs5/groups/B05006.html,BC-2020-054
2020,2016-2020,2,India,21073,1520,persons,foreign_born_population,acs_estimate,ACS five-year estimates; ranks are based on point estimates and close positions should not be treated as statistically conclusive without considering margins of error.,2016-2020 ACS 5-Year Estimates,bergen_county_2020_acs_immigration_cleaned.csv,https://api.census.gov/data/2020/acs/acs5/groups/B05006.html,BC-2020-059
2020,2016-2020,3,Philippines,16890,1747,persons,foreign_born_population,acs_estimate,ACS five-year estimates; ranks are based on point estimates and close positions should not be treated as statistically conclusive without considering margins of error.,2016-2020 ACS 5-Year Estimates,bergen_county_2020_acs_immigration_cleaned.csv,https://api.census.gov/data/2020/acs/acs5/groups/B05006.html,BC-2020-073
2020,2016-2020,4,China,14316,1199,persons,foreign_born_population,acs_estimate,ACS five-year estimates; ranks are based on point estimates and close positions should not be treated as statistically conclusive without considering margins of error.,2016-2020 ACS 5-Year Estimates,bergen_county_2020_acs_immigration_cleaned.csv,https://api.census.gov/data/2020/acs/acs5/groups/B05006.html,BC-2020-049
2020,2016-2020,5,Turkey,4550,862,persons,foreign_born_population,acs_estimate,ACS five-year estimates; ranks are based on point estimates and close positions should not be treated as statistically conclusive without considering margins of error.,2016-2020 ACS 5-Year Estimates,bergen_county_2020_acs_immigration_cleaned.csv,https://api.census.gov/data/2020/acs/acs5/groups/B05006.html,BC-2020-087
