year,source_period,geography,european_group,population,margin_of_error,unit,measure_scope,publication_status,coverage_status,derivation_components,classification_basis,caveat,historical_comparability,group_type,european_subregion,hierarchy_level,standard_variable,parent_label,source_label,table_id,table,crosswalk_id,publication,official_source_url,source_file,verification_status,notes,classification_source_url
2000,2000,Bergen County,Southern Europe,18054,,persons,foreign_born_population,published_census_subregion_total,complete_published_subregion_total,,source-published Census subregion,Published Census/ACS subregion aggregate; retain the source period and margin of error when comparing years.,unknown,subregion_total,Southern Europe,1,foreign_born_country_of_birth_europe_southern_europe,Europe,Southern Europe,PCT19,PCT19: Place of Birth for the Foreign-Born Population,BC-2000-025,Census 2000 Summary File 3 (SF 3),https://api.census.gov/data/2000/dec/sf3/groups/PCT019.html,bergen_county_2000_immigration_tables.csv,,SF3 sample data; n.e.c. = not elsewhere classified.,https://api.census.gov/data/2000/dec/sf3/groups/PCT019.html
2000,2000,Bergen County,Eastern Europe,32854,,persons,foreign_born_population,published_census_subregion_total,complete_published_subregion_total,,source-published Census subregion,Published Census/ACS subregion aggregate; retain the source period and margin of error when comparing years.,unknown,subregion_total,Eastern Europe,1,foreign_born_country_of_birth_europe_eastern_europe,Europe,Eastern Europe,PCT19,PCT19: Place of Birth for the Foreign-Born Population,BC-2000-031,Census 2000 Summary File 3 (SF 3),https://api.census.gov/data/2000/dec/sf3/groups/PCT019.html,bergen_county_2000_immigration_tables.csv,,SF3 sample data; n.e.c. = not elsewhere classified.,https://api.census.gov/data/2000/dec/sf3/groups/PCT019.html
2010,2006-2010,Bergen County,Northern Europe,5623,563,persons,foreign_born_population,published_census_subregion_total,complete_published_subregion_total,,source-published Census subregion,Published Census/ACS subregion aggregate; retain the source period and margin of error when comparing years.,unknown,subregion_total,Northern Europe,1,foreign_born_country_of_birth_europe_northern_europe,Europe,Estimate!!Total!!Europe!!Northern Europe,B05006,B05006: PLACE OF BIRTH FOR THE FOREIGN-BORN POPULATION IN THE UNITED STATES,BC-2010-003,2006-2010 ACS 5-Year Detailed Tables,https://api.census.gov/data/2010/acs/acs5/groups/B05006.html,bergen_county_2010_acs_B05006_B05007.csv,api_response_and_metadata_validated,source_period=2006-2010; geoid=05000US34003; margin_of_error=563; 2006-2010 ACS 5-year period estimate; sample-based. MOE is Census-published margin of error.,https://www2.census.gov/programs-surveys/acs/tech_docs/code_lists/2010_ACS_Code_Lists.pdf
2010,2006-2010,Bergen County,Western Europe,6235,605,persons,foreign_born_population,published_census_subregion_total,complete_published_subregion_total,,source-published Census subregion,Published Census/ACS subregion aggregate; retain the source period and margin of error when comparing years.,unknown,subregion_total,Western Europe,1,foreign_born_country_of_birth_europe_western_europe,Europe,Estimate!!Total!!Europe!!Western Europe,B05006,B05006: PLACE OF BIRTH FOR THE FOREIGN-BORN POPULATION IN THE UNITED STATES,BC-2010-013,2006-2010 ACS 5-Year Detailed Tables,https://api.census.gov/data/2010/acs/acs5/groups/B05006.html,bergen_county_2010_acs_B05006_B05007.csv,api_response_and_metadata_validated,source_period=2006-2010; geoid=05000US34003; margin_of_error=605; 2006-2010 ACS 5-year period estimate; sample-based. MOE is Census-published margin of error.,https://www2.census.gov/programs-surveys/acs/tech_docs/code_lists/2010_ACS_Code_Lists.pdf
2010,2006-2010,Bergen County,Southern Europe,14623,1039,persons,foreign_born_population,published_census_subregion_total,complete_published_subregion_total,,source-published Census subregion,Published Census/ACS subregion aggregate; retain the source period and margin of error when comparing years.,unknown,subregion_total,Southern Europe,1,foreign_born_country_of_birth_europe_southern_europe,Europe,Estimate!!Total!!Europe!!Southern Europe,B05006,B05006: PLACE OF BIRTH FOR THE FOREIGN-BORN POPULATION IN THE UNITED STATES,BC-2010-021,2006-2010 ACS 5-Year Detailed Tables,https://api.census.gov/data/2010/acs/acs5/groups/B05006.html,bergen_county_2010_acs_B05006_B05007.csv,api_response_and_metadata_validated,source_period=2006-2010; geoid=05000US34003; margin_of_error=1039; 2006-2010 ACS 5-year period estimate; sample-based. MOE is Census-published margin of error.,https://www2.census.gov/programs-surveys/acs/tech_docs/code_lists/2010_ACS_Code_Lists.pdf
2010,2006-2010,Bergen County,Eastern Europe,32832,1687,persons,foreign_born_population,published_census_subregion_total,complete_published_subregion_total,,source-published Census subregion,Published Census/ACS subregion aggregate; retain the source period and margin of error when comparing years.,unknown,subregion_total,Eastern Europe,1,foreign_born_country_of_birth_europe_eastern_europe,Europe,Estimate!!Total!!Europe!!Eastern Europe,B05006,B05006: PLACE OF BIRTH FOR THE FOREIGN-BORN POPULATION IN THE UNITED STATES,BC-2010-027,2006-2010 ACS 5-Year Detailed Tables,https://api.census.gov/data/2010/acs/acs5/groups/B05006.html,bergen_county_2010_acs_B05006_B05007.csv,api_response_and_metadata_validated,source_period=2006-2010; geoid=05000US34003; margin_of_error=1687; 2006-2010 ACS 5-year period estimate; sample-based. MOE is Census-published margin of error.,https://www2.census.gov/programs-surveys/acs/tech_docs/code_lists/2010_ACS_Code_Lists.pdf
2020,2016-2020,Bergen County,Northern Europe,5406,797,persons,foreign_born_population,published_census_subregion_total,complete_published_subregion_total,,source-published Census subregion,Published Census/ACS subregion aggregate; retain the source period and margin of error when comparing years.,unknown,subregion_total,Northern Europe,1,foreign_born_country_of_birth_europe_northern_europe,Europe,Estimate!!Total:!!Europe:!!Northern Europe:,B05006,B05006: PLACE OF BIRTH FOR THE FOREIGN-BORN POPULATION IN THE UNITED STATES,BC-2020-006,2016-2020 ACS 5-Year Estimates,https://api.census.gov/data/2020/acs/acs5/groups/B05006.html,bergen_county_2020_acs_immigration_cleaned.csv,retrieved_and_moe_matched,source_period=2016-2020; geoid=05000US34003; margin_of_error=797; estimate_annotation=none; moe_annotation=none; 2016–2020 ACS 5-Year estimate; sample-based period estimate.,https://www2.census.gov/programs-surveys/acs/tech_docs/code_lists/2020_ACS_Code_Lists.pdf
2020,2016-2020,Bergen County,Western Europe,4582,542,persons,foreign_born_population,published_census_subregion_total,complete_published_subregion_total,,source-published Census subregion,Published Census/ACS subregion aggregate; retain the source period and margin of error when comparing years.,unknown,subregion_total,Western Europe,1,foreign_born_country_of_birth_europe_western_europe,Europe,Estimate!!Total:!!Europe:!!Western Europe:,B05006,B05006: PLACE OF BIRTH FOR THE FOREIGN-BORN POPULATION IN THE UNITED STATES,BC-2020-016,2016-2020 ACS 5-Year Estimates,https://api.census.gov/data/2020/acs/acs5/groups/B05006.html,bergen_county_2020_acs_immigration_cleaned.csv,retrieved_and_moe_matched,source_period=2016-2020; geoid=05000US34003; margin_of_error=542; estimate_annotation=none; moe_annotation=none; 2016–2020 ACS 5-Year estimate; sample-based period estimate.,https://www2.census.gov/programs-surveys/acs/tech_docs/code_lists/2020_ACS_Code_Lists.pdf
2020,2016-2020,Bergen County,Southern Europe,11714,970,persons,foreign_born_population,published_census_subregion_total,complete_published_subregion_total,,source-published Census subregion,Published Census/ACS subregion aggregate; retain the source period and margin of error when comparing years.,unknown,subregion_total,Southern Europe,1,foreign_born_country_of_birth_europe_southern_europe,Europe,Estimate!!Total:!!Europe:!!Southern Europe:,B05006,B05006: PLACE OF BIRTH FOR THE FOREIGN-BORN POPULATION IN THE UNITED STATES,BC-2020-024,2016-2020 ACS 5-Year Estimates,https://api.census.gov/data/2020/acs/acs5/groups/B05006.html,bergen_county_2020_acs_immigration_cleaned.csv,retrieved_and_moe_matched,source_period=2016-2020; geoid=05000US34003; margin_of_error=970; estimate_annotation=none; moe_annotation=none; 2016–2020 ACS 5-Year estimate; sample-based period estimate.,https://www2.census.gov/programs-surveys/acs/tech_docs/code_lists/2020_ACS_Code_Lists.pdf
2020,2016-2020,Bergen County,Eastern Europe,35568,2279,persons,foreign_born_population,published_census_subregion_total,complete_published_subregion_total,,source-published Census subregion,Published Census/ACS subregion aggregate; retain the source period and margin of error when comparing years.,unknown,subregion_total,Eastern Europe,1,foreign_born_country_of_birth_europe_eastern_europe,Europe,Estimate!!Total:!!Europe:!!Eastern Europe:,B05006,B05006: PLACE OF BIRTH FOR THE FOREIGN-BORN POPULATION IN THE UNITED STATES,BC-2020-030,2016-2020 ACS 5-Year Estimates,https://api.census.gov/data/2020/acs/acs5/groups/B05006.html,bergen_county_2020_acs_immigration_cleaned.csv,retrieved_and_moe_matched,source_period=2016-2020; geoid=05000US34003; margin_of_error=2279; estimate_annotation=none; moe_annotation=none; 2016–2020 ACS 5-Year estimate; sample-based period estimate.,https://www2.census.gov/programs-surveys/acs/tech_docs/code_lists/2020_ACS_Code_Lists.pdf
