year,source_period,geography,group_order,region_of_birth,population,foreign_born_total,percentage_of_foreign_born_population,percentage_formula,population_margin_of_error,foreign_born_margin_of_error,value_status,coverage_status,population_crosswalk_id,foreign_born_crosswalk_id,source_file,official_source_url,notes
2000,2000,Bergen County,5,Other Origins,2669,222301,1.2006,population / foreign_born_total * 100,,,derived_balancing_remainder,complete_balancing_remainder,,BC-2000-003,Calculated from the four continent-series CSVs and the foreign-born total CSV,,"Balances the four-group framework to the full foreign-born population. Depending on the period, this includes Northern America, Oceania, born-at-sea records, and other origins outside Europe, Asia, Africa, and Latin America."
2010,2006-2010,Bergen County,1,Europe,59395,254459,23.3417,population / foreign_born_total * 100,1937,3079,published_estimate,complete_published_or_reconstructed,BC-2010-002,BC-2010-001,bergen_county_2010_acs_B05006_B05007.csv,https://api.census.gov/data/2010/acs/acs5/groups/B05006.html,"Share of Bergen County's foreign-born resident population; this is a population stock, not an arrival count."
2010,2006-2010,Bergen County,2,Asia,110531,254459,43.4376,population / foreign_born_total * 100,1858,3079,published_estimate,complete_published_or_reconstructed,BC-2010-047,BC-2010-001,bergen_county_2010_acs_B05006_B05007.csv,https://api.census.gov/data/2010/acs/acs5/groups/B05006.html,"Share of Bergen County's foreign-born resident population; this is a population stock, not an arrival count."
2010,2006-2010,Bergen County,3,Africa,6125,254459,2.4071,population / foreign_born_total * 100,799,3079,published_estimate,complete_published_or_reconstructed,BC-2010-091,BC-2010-001,bergen_county_2010_acs_B05006_B05007.csv,https://api.census.gov/data/2010/acs/acs5/groups/B05006.html,"Share of Bergen County's foreign-born resident population; this is a population stock, not an arrival count."
2010,2006-2010,Bergen County,4,Latin America,75922,254459,29.8366,population / foreign_born_total * 100,2316,3079,published_acs_estimate,complete_published_or_reconstructed,BC-2010-123,BC-2010-001,bergen_county_2010_acs_B05006_B05007.csv,https://api.census.gov/data/2010/acs/acs5/groups/B05006.html,Latin America is an analytical Census region rather than a continent. Historical proxy and harmonized rows retain their documented boundary caveats.
2010,2006-2010,Bergen County,5,Other Origins,2486,254459,0.977,population / foreign_born_total * 100,,3079,derived_balancing_remainder,complete_balancing_remainder,,BC-2010-001,Calculated from the four continent-series CSVs and the foreign-born total CSV,,"Balances the four-group framework to the full foreign-born population. Depending on the period, this includes Northern America, Oceania, born-at-sea records, and other origins outside Europe, Asia, Africa, and Latin America."
2020,2016-2020,Bergen County,1,Europe,57406,286648,20.0267,population / foreign_born_total * 100,2511,3614,published_estimate,complete_published_or_reconstructed,BC-2020-005,BC-2020-001,bergen_county_2020_acs_immigration_cleaned.csv,https://api.census.gov/data/2020/acs/acs5/groups/B05006.html,"Share of Bergen County's foreign-born resident population; this is a population stock, not an arrival count."
2020,2016-2020,Bergen County,2,Asia,122110,286648,42.5993,population / foreign_born_total * 100,1983,3614,published_estimate,complete_published_or_reconstructed,BC-2020-047,BC-2020-001,bergen_county_2020_acs_immigration_cleaned.csv,https://api.census.gov/data/2020/acs/acs5/groups/B05006.html,"Share of Bergen County's foreign-born resident population; this is a population stock, not an arrival count."
2020,2016-2020,Bergen County,3,Africa,8145,286648,2.8415,population / foreign_born_total * 100,1026,3614,published_estimate,complete_published_or_reconstructed,BC-2020-091,BC-2020-001,bergen_county_2020_acs_immigration_cleaned.csv,https://api.census.gov/data/2020/acs/acs5/groups/B05006.html,"Share of Bergen County's foreign-born resident population; this is a population stock, not an arrival count."
2020,2016-2020,Bergen County,4,Latin America,96675,286648,33.726,population / foreign_born_total * 100,2549,3614,published_acs_estimate,complete_published_or_reconstructed,BC-2020-122,BC-2020-001,bergen_county_2020_acs_immigration_cleaned.csv,https://api.census.gov/data/2020/acs/acs5/groups/B05006.html,Latin America is an analytical Census region rather than a continent. Historical proxy and harmonized rows retain their documented boundary caveats.
2020,2016-2020,Bergen County,5,Other Origins,2312,286648,0.8066,population / foreign_born_total * 100,,3614,derived_balancing_remainder,complete_balancing_remainder,,BC-2020-001,Calculated from the four continent-series CSVs and the foreign-born total CSV,,"Balances the four-group framework to the full foreign-born population. Depending on the period, this includes Northern America, Oceania, born-at-sea records, and other origins outside Europe, Asia, Africa, and Latin America."
