year,source_period,geography,country_or_area,latin_american_subregion,population,margin_of_error,unit,measure_scope,value_status,coverage_status,standard_variable,parent_label,source_label,table_id,variable_id,table,crosswalk_id,publication,official_source_url,source_file,verification_status,notes
1990,1990,Bergen County,Jamaica,Caribbean,3343,,persons,foreign_born_population,reported,selected_published_countries_only,foreign_born_country_of_birth_jamaica,Caribbean,Jamaica,,,Table 139: Place of Birth of Foreign-Born Persons: 1990,BC-1990-151,"1990 Census of Population: Social and Economic Characteristics, New Jersey",,cp-2-32-1table139.pdf,,"Country/area rows only; regional totals and residual categories are excluded, so these rows must not be summed as a complete Latin America total."
1990,1990,Bergen County,Trinidad and Tobago,Caribbean,868,,persons,foreign_born_population,reported,selected_published_countries_only,foreign_born_country_of_birth_trinidad_and_tobago,Caribbean,Trinidad and Tobago,,,Table 139: Place of Birth of Foreign-Born Persons: 1990,BC-1990-152,"1990 Census of Population: Social and Economic Characteristics, New Jersey",,cp-2-32-1table139.pdf,,"Country/area rows only; regional totals and residual categories are excluded, so these rows must not be summed as a complete Latin America total."
1990,1990,Bergen County,Belize,Central America,39,,persons,foreign_born_population,reported,selected_published_countries_only,foreign_born_country_of_birth_belize,Central America,Belize,,,Table 139: Place of Birth of Foreign-Born Persons: 1990,BC-1990-154,"1990 Census of Population: Social and Economic Characteristics, New Jersey",,cp-2-32-1table139.pdf,,"Country/area rows only; regional totals and residual categories are excluded, so these rows must not be summed as a complete Latin America total."
1990,1990,Bergen County,Costa Rica,Central America,280,,persons,foreign_born_population,reported,selected_published_countries_only,foreign_born_country_of_birth_costa_rica,Central America,Costa Rica,,,Table 139: Place of Birth of Foreign-Born Persons: 1990,BC-1990-155,"1990 Census of Population: Social and Economic Characteristics, New Jersey",,cp-2-32-1table139.pdf,,"Country/area rows only; regional totals and residual categories are excluded, so these rows must not be summed as a complete Latin America total."
1990,1990,Bergen County,El Salvador,Central America,1309,,persons,foreign_born_population,reported,selected_published_countries_only,foreign_born_country_of_birth_el_salvador,Central America,El Salvador,,,Table 139: Place of Birth of Foreign-Born Persons: 1990,BC-1990-156,"1990 Census of Population: Social and Economic Characteristics, New Jersey",,cp-2-32-1table139.pdf,,"Country/area rows only; regional totals and residual categories are excluded, so these rows must not be summed as a complete Latin America total."
1990,1990,Bergen County,Guatemala,Central America,457,,persons,foreign_born_population,reported,selected_published_countries_only,foreign_born_country_of_birth_guatemala,Central America,Guatemala,,,Table 139: Place of Birth of Foreign-Born Persons: 1990,BC-1990-157,"1990 Census of Population: Social and Economic Characteristics, New Jersey",,cp-2-32-1table139.pdf,,"Country/area rows only; regional totals and residual categories are excluded, so these rows must not be summed as a complete Latin America total."
1990,1990,Bergen County,Honduras,Central America,318,,persons,foreign_born_population,reported,selected_published_countries_only,foreign_born_country_of_birth_honduras,Central America,Honduras,,,Table 139: Place of Birth of Foreign-Born Persons: 1990,BC-1990-158,"1990 Census of Population: Social and Economic Characteristics, New Jersey",,cp-2-32-1table139.pdf,,"Country/area rows only; regional totals and residual categories are excluded, so these rows must not be summed as a complete Latin America total."
1990,1990,Bergen County,Mexico,Central America,574,,persons,foreign_born_population,reported,selected_published_countries_only,foreign_born_country_of_birth_mexico,North America,Mexico,,,Table 139: Place of Birth of Foreign-Born Persons: 1990,BC-1990-143,"1990 Census of Population: Social and Economic Characteristics, New Jersey",,cp-2-32-1table139.pdf,,"Country/area rows only; regional totals and residual categories are excluded, so these rows must not be summed as a complete Latin America total."
1990,1990,Bergen County,Nicaragua,Central America,250,,persons,foreign_born_population,reported,selected_published_countries_only,foreign_born_country_of_birth_nicaragua,Central America,Nicaragua,,,Table 139: Place of Birth of Foreign-Born Persons: 1990,BC-1990-159,"1990 Census of Population: Social and Economic Characteristics, New Jersey",,cp-2-32-1table139.pdf,,"Country/area rows only; regional totals and residual categories are excluded, so these rows must not be summed as a complete Latin America total."
1990,1990,Bergen County,Panama,Central America,196,,persons,foreign_born_population,reported,selected_published_countries_only,foreign_born_country_of_birth_panama,Central America,Panama,,,Table 139: Place of Birth of Foreign-Born Persons: 1990,BC-1990-160,"1990 Census of Population: Social and Economic Characteristics, New Jersey",,cp-2-32-1table139.pdf,,"Country/area rows only; regional totals and residual categories are excluded, so these rows must not be summed as a complete Latin America total."
1990,1990,Bergen County,Argentina,South America,1283,,persons,foreign_born_population,reported,selected_published_countries_only,foreign_born_country_of_birth_argentina,South America,Argentina,,,Table 139: Place of Birth of Foreign-Born Persons: 1990,BC-1990-162,"1990 Census of Population: Social and Economic Characteristics, New Jersey",,cp-2-32-1table139.pdf,,"Country/area rows only; regional totals and residual categories are excluded, so these rows must not be summed as a complete Latin America total."
1990,1990,Bergen County,Bolivia,South America,285,,persons,foreign_born_population,reported,selected_published_countries_only,foreign_born_country_of_birth_bolivia,South America,Bolivia,,,Table 139: Place of Birth of Foreign-Born Persons: 1990,BC-1990-163,"1990 Census of Population: Social and Economic Characteristics, New Jersey",,cp-2-32-1table139.pdf,,"Country/area rows only; regional totals and residual categories are excluded, so these rows must not be summed as a complete Latin America total."
1990,1990,Bergen County,Brazil,South America,956,,persons,foreign_born_population,reported,selected_published_countries_only,foreign_born_country_of_birth_brazil,South America,Brazil,,,Table 139: Place of Birth of Foreign-Born Persons: 1990,BC-1990-164,"1990 Census of Population: Social and Economic Characteristics, New Jersey",,cp-2-32-1table139.pdf,,"Country/area rows only; regional totals and residual categories are excluded, so these rows must not be summed as a complete Latin America total."
1990,1990,Bergen County,Chile,South America,483,,persons,foreign_born_population,reported,selected_published_countries_only,foreign_born_country_of_birth_chile,South America,Chile,,,Table 139: Place of Birth of Foreign-Born Persons: 1990,BC-1990-165,"1990 Census of Population: Social and Economic Characteristics, New Jersey",,cp-2-32-1table139.pdf,,"Country/area rows only; regional totals and residual categories are excluded, so these rows must not be summed as a complete Latin America total."
1990,1990,Bergen County,Colombia,South America,6239,,persons,foreign_born_population,reported,selected_published_countries_only,foreign_born_country_of_birth_colombia,South America,Colombia,,,Table 139: Place of Birth of Foreign-Born Persons: 1990,BC-1990-166,"1990 Census of Population: Social and Economic Characteristics, New Jersey",,cp-2-32-1table139.pdf,,"Country/area rows only; regional totals and residual categories are excluded, so these rows must not be summed as a complete Latin America total."
1990,1990,Bergen County,Ecuador,South America,2383,,persons,foreign_born_population,reported,selected_published_countries_only,foreign_born_country_of_birth_ecuador,South America,Ecuador,,,Table 139: Place of Birth of Foreign-Born Persons: 1990,BC-1990-167,"1990 Census of Population: Social and Economic Characteristics, New Jersey",,cp-2-32-1table139.pdf,,"Country/area rows only; regional totals and residual categories are excluded, so these rows must not be summed as a complete Latin America total."
1990,1990,Bergen County,Guyana,South America,301,,persons,foreign_born_population,reported,selected_published_countries_only,foreign_born_country_of_birth_guyana,South America,Guyana,,,Table 139: Place of Birth of Foreign-Born Persons: 1990,BC-1990-168,"1990 Census of Population: Social and Economic Characteristics, New Jersey",,cp-2-32-1table139.pdf,,"Country/area rows only; regional totals and residual categories are excluded, so these rows must not be summed as a complete Latin America total."
1990,1990,Bergen County,Peru,South America,1493,,persons,foreign_born_population,reported,selected_published_countries_only,foreign_born_country_of_birth_peru,South America,Peru,,,Table 139: Place of Birth of Foreign-Born Persons: 1990,BC-1990-169,"1990 Census of Population: Social and Economic Characteristics, New Jersey",,cp-2-32-1table139.pdf,,"Country/area rows only; regional totals and residual categories are excluded, so these rows must not be summed as a complete Latin America total."
1990,1990,Bergen County,Uruguay,South America,280,,persons,foreign_born_population,reported,selected_published_countries_only,foreign_born_country_of_birth_uruguay,South America,Uruguay,,,Table 139: Place of Birth of Foreign-Born Persons: 1990,BC-1990-170,"1990 Census of Population: Social and Economic Characteristics, New Jersey",,cp-2-32-1table139.pdf,,"Country/area rows only; regional totals and residual categories are excluded, so these rows must not be summed as a complete Latin America total."
1990,1990,Bergen County,Venezuela,South America,251,,persons,foreign_born_population,reported,selected_published_countries_only,foreign_born_country_of_birth_venezuela,South America,Venezuela,,,Table 139: Place of Birth of Foreign-Born Persons: 1990,BC-1990-171,"1990 Census of Population: Social and Economic Characteristics, New Jersey",,cp-2-32-1table139.pdf,,"Country/area rows only; regional totals and residual categories are excluded, so these rows must not be summed as a complete Latin America total."
2000,2000,Bergen County,Barbados,Caribbean,188,,persons,foreign_born_population,reported,selected_published_countries_only,foreign_born_country_of_birth_barbados,Americas > Latin America > Caribbean,Barbados,PCT19,PCT019095,PCT19: Place of Birth for the Foreign-Born Population,BC-2000-106,Census 2000 Summary File 3 (SF 3),https://api.census.gov/data/2000/dec/sf3/groups/PCT019.html,bergen_county_2000_immigration_tables.csv,,"Country/area rows only; regional totals and residual categories are excluded, so these rows must not be summed as a complete Latin America total. SF3 sample data; n.e.c. = not elsewhere classified."
2000,2000,Bergen County,Cuba,Caribbean,5183,,persons,foreign_born_population,reported,selected_published_countries_only,foreign_born_country_of_birth_cuba,Americas > Latin America > Caribbean,Cuba,PCT19,PCT019096,PCT19: Place of Birth for the Foreign-Born Population,BC-2000-107,Census 2000 Summary File 3 (SF 3),https://api.census.gov/data/2000/dec/sf3/groups/PCT019.html,bergen_county_2000_immigration_tables.csv,,"Country/area rows only; regional totals and residual categories are excluded, so these rows must not be summed as a complete Latin America total. SF3 sample data; n.e.c. = not elsewhere classified."
2000,2000,Bergen County,Dominican Republic,Caribbean,6669,,persons,foreign_born_population,reported,selected_published_countries_only,foreign_born_country_of_birth_dominican_republic,Americas > Latin America > Caribbean,Dominican Republic,PCT19,PCT019097,PCT19: Place of Birth for the Foreign-Born Population,BC-2000-108,Census 2000 Summary File 3 (SF 3),https://api.census.gov/data/2000/dec/sf3/groups/PCT019.html,bergen_county_2000_immigration_tables.csv,,"Country/area rows only; regional totals and residual categories are excluded, so these rows must not be summed as a complete Latin America total. SF3 sample data; n.e.c. = not elsewhere classified."
2000,2000,Bergen County,Haiti,Caribbean,669,,persons,foreign_born_population,reported,selected_published_countries_only,foreign_born_country_of_birth_haiti,Americas > Latin America > Caribbean,Haiti,PCT19,PCT019098,PCT19: Place of Birth for the Foreign-Born Population,BC-2000-109,Census 2000 Summary File 3 (SF 3),https://api.census.gov/data/2000/dec/sf3/groups/PCT019.html,bergen_county_2000_immigration_tables.csv,,"Country/area rows only; regional totals and residual categories are excluded, so these rows must not be summed as a complete Latin America total. SF3 sample data; n.e.c. = not elsewhere classified."
2000,2000,Bergen County,Jamaica,Caribbean,4420,,persons,foreign_born_population,reported,selected_published_countries_only,foreign_born_country_of_birth_jamaica,Americas > Latin America > Caribbean,Jamaica,PCT19,PCT019099,PCT19: Place of Birth for the Foreign-Born Population,BC-2000-110,Census 2000 Summary File 3 (SF 3),https://api.census.gov/data/2000/dec/sf3/groups/PCT019.html,bergen_county_2000_immigration_tables.csv,,"Country/area rows only; regional totals and residual categories are excluded, so these rows must not be summed as a complete Latin America total. SF3 sample data; n.e.c. = not elsewhere classified."
2000,2000,Bergen County,Trinidad and Tobago,Caribbean,1675,,persons,foreign_born_population,reported,selected_published_countries_only,foreign_born_country_of_birth_trinidad_and_tobago,Americas > Latin America > Caribbean,Trinidad and Tobago,PCT19,PCT019100,PCT19: Place of Birth for the Foreign-Born Population,BC-2000-111,Census 2000 Summary File 3 (SF 3),https://api.census.gov/data/2000/dec/sf3/groups/PCT019.html,bergen_county_2000_immigration_tables.csv,,"Country/area rows only; regional totals and residual categories are excluded, so these rows must not be summed as a complete Latin America total. SF3 sample data; n.e.c. = not elsewhere classified."
2000,2000,Bergen County,Costa Rica,Central America,828,,persons,foreign_born_population,reported,selected_published_countries_only,foreign_born_country_of_birth_costa_rica,Americas > Latin America > Central America > Other Central America,Costa Rica,PCT19,PCT019105,PCT19: Place of Birth for the Foreign-Born Population,BC-2000-116,Census 2000 Summary File 3 (SF 3),https://api.census.gov/data/2000/dec/sf3/groups/PCT019.html,bergen_county_2000_immigration_tables.csv,,"Country/area rows only; regional totals and residual categories are excluded, so these rows must not be summed as a complete Latin America total. SF3 sample data; n.e.c. = not elsewhere classified."
2000,2000,Bergen County,El Salvador,Central America,2959,,persons,foreign_born_population,reported,selected_published_countries_only,foreign_born_country_of_birth_el_salvador,Americas > Latin America > Central America > Other Central America,El Salvador,PCT19,PCT019106,PCT19: Place of Birth for the Foreign-Born Population,BC-2000-117,Census 2000 Summary File 3 (SF 3),https://api.census.gov/data/2000/dec/sf3/groups/PCT019.html,bergen_county_2000_immigration_tables.csv,,"Country/area rows only; regional totals and residual categories are excluded, so these rows must not be summed as a complete Latin America total. SF3 sample data; n.e.c. = not elsewhere classified."
2000,2000,Bergen County,Guatemala,Central America,2497,,persons,foreign_born_population,reported,selected_published_countries_only,foreign_born_country_of_birth_guatemala,Americas > Latin America > Central America > Other Central America,Guatemala,PCT19,PCT019107,PCT19: Place of Birth for the Foreign-Born Population,BC-2000-118,Census 2000 Summary File 3 (SF 3),https://api.census.gov/data/2000/dec/sf3/groups/PCT019.html,bergen_county_2000_immigration_tables.csv,,"Country/area rows only; regional totals and residual categories are excluded, so these rows must not be summed as a complete Latin America total. SF3 sample data; n.e.c. = not elsewhere classified."
2000,2000,Bergen County,Honduras,Central America,576,,persons,foreign_born_population,reported,selected_published_countries_only,foreign_born_country_of_birth_honduras,Americas > Latin America > Central America > Other Central America,Honduras,PCT19,PCT019108,PCT19: Place of Birth for the Foreign-Born Population,BC-2000-119,Census 2000 Summary File 3 (SF 3),https://api.census.gov/data/2000/dec/sf3/groups/PCT019.html,bergen_county_2000_immigration_tables.csv,,"Country/area rows only; regional totals and residual categories are excluded, so these rows must not be summed as a complete Latin America total. SF3 sample data; n.e.c. = not elsewhere classified."
2000,2000,Bergen County,Mexico,Central America,3038,,persons,foreign_born_population,reported,selected_published_countries_only,foreign_born_country_of_birth_mexico,Americas > Latin America > Central America,Mexico,PCT19,PCT019103,PCT19: Place of Birth for the Foreign-Born Population,BC-2000-114,Census 2000 Summary File 3 (SF 3),https://api.census.gov/data/2000/dec/sf3/groups/PCT019.html,bergen_county_2000_immigration_tables.csv,,"Country/area rows only; regional totals and residual categories are excluded, so these rows must not be summed as a complete Latin America total. SF3 sample data; n.e.c. = not elsewhere classified."
2000,2000,Bergen County,Nicaragua,Central America,238,,persons,foreign_born_population,reported,selected_published_countries_only,foreign_born_country_of_birth_nicaragua,Americas > Latin America > Central America > Other Central America,Nicaragua,PCT19,PCT019109,PCT19: Place of Birth for the Foreign-Born Population,BC-2000-120,Census 2000 Summary File 3 (SF 3),https://api.census.gov/data/2000/dec/sf3/groups/PCT019.html,bergen_county_2000_immigration_tables.csv,,"Country/area rows only; regional totals and residual categories are excluded, so these rows must not be summed as a complete Latin America total. SF3 sample data; n.e.c. = not elsewhere classified."
2000,2000,Bergen County,Panama,Central America,216,,persons,foreign_born_population,reported,selected_published_countries_only,foreign_born_country_of_birth_panama,Americas > Latin America > Central America > Other Central America,Panama,PCT19,PCT019110,PCT19: Place of Birth for the Foreign-Born Population,BC-2000-121,Census 2000 Summary File 3 (SF 3),https://api.census.gov/data/2000/dec/sf3/groups/PCT019.html,bergen_county_2000_immigration_tables.csv,,"Country/area rows only; regional totals and residual categories are excluded, so these rows must not be summed as a complete Latin America total. SF3 sample data; n.e.c. = not elsewhere classified."
2000,2000,Bergen County,Argentina,South America,1340,,persons,foreign_born_population,reported,selected_published_countries_only,foreign_born_country_of_birth_argentina,Americas > Latin America > South America,Argentina,PCT19,PCT019113,PCT19: Place of Birth for the Foreign-Born Population,BC-2000-124,Census 2000 Summary File 3 (SF 3),https://api.census.gov/data/2000/dec/sf3/groups/PCT019.html,bergen_county_2000_immigration_tables.csv,,"Country/area rows only; regional totals and residual categories are excluded, so these rows must not be summed as a complete Latin America total. SF3 sample data; n.e.c. = not elsewhere classified."
2000,2000,Bergen County,Bolivia,South America,477,,persons,foreign_born_population,reported,selected_published_countries_only,foreign_born_country_of_birth_bolivia,Americas > Latin America > South America,Bolivia,PCT19,PCT019114,PCT19: Place of Birth for the Foreign-Born Population,BC-2000-125,Census 2000 Summary File 3 (SF 3),https://api.census.gov/data/2000/dec/sf3/groups/PCT019.html,bergen_county_2000_immigration_tables.csv,,"Country/area rows only; regional totals and residual categories are excluded, so these rows must not be summed as a complete Latin America total. SF3 sample data; n.e.c. = not elsewhere classified."
2000,2000,Bergen County,Brazil,South America,1848,,persons,foreign_born_population,reported,selected_published_countries_only,foreign_born_country_of_birth_brazil,Americas > Latin America > South America,Brazil,PCT19,PCT019115,PCT19: Place of Birth for the Foreign-Born Population,BC-2000-126,Census 2000 Summary File 3 (SF 3),https://api.census.gov/data/2000/dec/sf3/groups/PCT019.html,bergen_county_2000_immigration_tables.csv,,"Country/area rows only; regional totals and residual categories are excluded, so these rows must not be summed as a complete Latin America total. SF3 sample data; n.e.c. = not elsewhere classified."
2000,2000,Bergen County,Chile,South America,747,,persons,foreign_born_population,reported,selected_published_countries_only,foreign_born_country_of_birth_chile,Americas > Latin America > South America,Chile,PCT19,PCT019116,PCT19: Place of Birth for the Foreign-Born Population,BC-2000-127,Census 2000 Summary File 3 (SF 3),https://api.census.gov/data/2000/dec/sf3/groups/PCT019.html,bergen_county_2000_immigration_tables.csv,,"Country/area rows only; regional totals and residual categories are excluded, so these rows must not be summed as a complete Latin America total. SF3 sample data; n.e.c. = not elsewhere classified."
2000,2000,Bergen County,Colombia,South America,11973,,persons,foreign_born_population,reported,selected_published_countries_only,foreign_born_country_of_birth_colombia,Americas > Latin America > South America,Colombia,PCT19,PCT019117,PCT19: Place of Birth for the Foreign-Born Population,BC-2000-128,Census 2000 Summary File 3 (SF 3),https://api.census.gov/data/2000/dec/sf3/groups/PCT019.html,bergen_county_2000_immigration_tables.csv,,"Country/area rows only; regional totals and residual categories are excluded, so these rows must not be summed as a complete Latin America total. SF3 sample data; n.e.c. = not elsewhere classified."
2000,2000,Bergen County,Ecuador,South America,5926,,persons,foreign_born_population,reported,selected_published_countries_only,foreign_born_country_of_birth_ecuador,Americas > Latin America > South America,Ecuador,PCT19,PCT019118,PCT19: Place of Birth for the Foreign-Born Population,BC-2000-129,Census 2000 Summary File 3 (SF 3),https://api.census.gov/data/2000/dec/sf3/groups/PCT019.html,bergen_county_2000_immigration_tables.csv,,"Country/area rows only; regional totals and residual categories are excluded, so these rows must not be summed as a complete Latin America total. SF3 sample data; n.e.c. = not elsewhere classified."
2000,2000,Bergen County,Guyana,South America,1219,,persons,foreign_born_population,reported,selected_published_countries_only,foreign_born_country_of_birth_guyana,Americas > Latin America > South America,Guyana,PCT19,PCT019119,PCT19: Place of Birth for the Foreign-Born Population,BC-2000-130,Census 2000 Summary File 3 (SF 3),https://api.census.gov/data/2000/dec/sf3/groups/PCT019.html,bergen_county_2000_immigration_tables.csv,,"Country/area rows only; regional totals and residual categories are excluded, so these rows must not be summed as a complete Latin America total. SF3 sample data; n.e.c. = not elsewhere classified."
2000,2000,Bergen County,Peru,South America,3905,,persons,foreign_born_population,reported,selected_published_countries_only,foreign_born_country_of_birth_peru,Americas > Latin America > South America,Peru,PCT19,PCT019120,PCT19: Place of Birth for the Foreign-Born Population,BC-2000-131,Census 2000 Summary File 3 (SF 3),https://api.census.gov/data/2000/dec/sf3/groups/PCT019.html,bergen_county_2000_immigration_tables.csv,,"Country/area rows only; regional totals and residual categories are excluded, so these rows must not be summed as a complete Latin America total. SF3 sample data; n.e.c. = not elsewhere classified."
2000,2000,Bergen County,Venezuela,South America,545,,persons,foreign_born_population,reported,selected_published_countries_only,foreign_born_country_of_birth_venezuela,Americas > Latin America > South America,Venezuela,PCT19,PCT019121,PCT19: Place of Birth for the Foreign-Born Population,BC-2000-132,Census 2000 Summary File 3 (SF 3),https://api.census.gov/data/2000/dec/sf3/groups/PCT019.html,bergen_county_2000_immigration_tables.csv,,"Country/area rows only; regional totals and residual categories are excluded, so these rows must not be summed as a complete Latin America total. SF3 sample data; n.e.c. = not elsewhere classified."
2010,2006-2010,Bergen County,Bahamas,Caribbean,0,123,persons,foreign_born_population,acs_5_year_estimate,named_countries_and_areas_only,foreign_born_country_of_birth_americas_latin_america_caribbean_bahamas,Americas > Latin America > Caribbean,Estimate!!Total!!Americas!!Latin America!!Caribbean!!Bahamas,B05006,B05006_125E,B05006: PLACE OF BIRTH FOR THE FOREIGN-BORN POPULATION IN THE UNITED STATES,BC-2010-125,2006-2010 ACS 5-Year Detailed Tables,https://api.census.gov/data/2010/acs/acs5/groups/B05006.html,bergen_county_2010_acs_B05006_B05007.csv,api_response_and_metadata_validated,"Country/area rows only; regional totals and residual categories are excluded, so these rows must not be summed as a complete Latin America total. source_period=2006-2010; geoid=05000US34003; margin_of_error=123; 2006-2010 ACS 5-year period estimate; sample-based. MOE is Census-published margin of error."
2010,2006-2010,Bergen County,Barbados,Caribbean,341,203,persons,foreign_born_population,acs_5_year_estimate,named_countries_and_areas_only,foreign_born_country_of_birth_barbados,Americas > Latin America > Caribbean,Estimate!!Total!!Americas!!Latin America!!Caribbean!!Barbados,B05006,B05006_126E,B05006: PLACE OF BIRTH FOR THE FOREIGN-BORN POPULATION IN THE UNITED STATES,BC-2010-126,2006-2010 ACS 5-Year Detailed Tables,https://api.census.gov/data/2010/acs/acs5/groups/B05006.html,bergen_county_2010_acs_B05006_B05007.csv,api_response_and_metadata_validated,"Country/area rows only; regional totals and residual categories are excluded, so these rows must not be summed as a complete Latin America total. source_period=2006-2010; geoid=05000US34003; margin_of_error=203; 2006-2010 ACS 5-year period estimate; sample-based. MOE is Census-published margin of error."
2010,2006-2010,Bergen County,Cuba,Caribbean,5823,625,persons,foreign_born_population,acs_5_year_estimate,named_countries_and_areas_only,foreign_born_country_of_birth_cuba,Americas > Latin America > Caribbean,Estimate!!Total!!Americas!!Latin America!!Caribbean!!Cuba,B05006,B05006_127E,B05006: PLACE OF BIRTH FOR THE FOREIGN-BORN POPULATION IN THE UNITED STATES,BC-2010-127,2006-2010 ACS 5-Year Detailed Tables,https://api.census.gov/data/2010/acs/acs5/groups/B05006.html,bergen_county_2010_acs_B05006_B05007.csv,api_response_and_metadata_validated,"Country/area rows only; regional totals and residual categories are excluded, so these rows must not be summed as a complete Latin America total. source_period=2006-2010; geoid=05000US34003; margin_of_error=625; 2006-2010 ACS 5-year period estimate; sample-based. MOE is Census-published margin of error."
2010,2006-2010,Bergen County,Dominica,Caribbean,564,288,persons,foreign_born_population,acs_5_year_estimate,named_countries_and_areas_only,foreign_born_country_of_birth_americas_latin_america_caribbean_dominica,Americas > Latin America > Caribbean,Estimate!!Total!!Americas!!Latin America!!Caribbean!!Dominica,B05006,B05006_128E,B05006: PLACE OF BIRTH FOR THE FOREIGN-BORN POPULATION IN THE UNITED STATES,BC-2010-128,2006-2010 ACS 5-Year Detailed Tables,https://api.census.gov/data/2010/acs/acs5/groups/B05006.html,bergen_county_2010_acs_B05006_B05007.csv,api_response_and_metadata_validated,"Country/area rows only; regional totals and residual categories are excluded, so these rows must not be summed as a complete Latin America total. source_period=2006-2010; geoid=05000US34003; margin_of_error=288; 2006-2010 ACS 5-year period estimate; sample-based. MOE is Census-published margin of error."
